# collection_id,20260725T060107Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,184,3874,48591,261795,194176,16
1,compute-chain,tracked,16,1048576,8,1024,1024,188,3818,62078,263044,195104,16
2,compute-chain,tracked,16,1048576,8,1024,1024,200,3814,61688,263066,194624,16
3,compute-chain,tracked,16,1048576,8,1024,1024,210,3818,62624,264957,194816,16
4,compute-chain,tracked,16,1048576,8,1024,1024,198,3961,50616,263187,195072,16
5,compute-chain,tracked,16,1048576,8,1024,1024,191,3816,62326,264852,195776,16
6,compute-chain,tracked,16,1048576,8,1024,1024,168,3790,62146,264525,196704,16
7,compute-chain,tracked,16,1048576,8,1024,1024,187,3876,61897,264476,194976,16
8,compute-chain,tracked,16,1048576,8,1024,1024,206,4005,50470,265112,195008,16
9,compute-chain,tracked,16,1048576,8,1024,1024,197,4031,54001,261114,194176,16
10,compute-chain,tracked,16,1048576,8,1024,1024,172,3777,62200,263252,194560,16
11,compute-chain,tracked,16,1048576,8,1024,1024,202,3844,61747,267158,194624,16
12,compute-chain,tracked,16,1048576,8,1024,1024,181,4008,49880,264679,194848,16
13,compute-chain,tracked,16,1048576,8,1024,1024,188,3962,50392,264500,194240,16
14,compute-chain,tracked,16,1048576,8,1024,1024,181,3985,51203,265997,194688,16
15,compute-chain,tracked,16,1048576,8,1024,1024,203,3970,50241,264777,194464,16
16,compute-chain,tracked,16,1048576,8,1024,1024,180,3992,50557,264427,195008,16
17,compute-chain,tracked,16,1048576,8,1024,1024,187,3967,50207,264291,194848,16
18,compute-chain,tracked,16,1048576,8,1024,1024,184,3997,55428,265024,195008,16
19,compute-chain,tracked,16,1048576,8,1024,1024,196,4174,51078,264248,194592,16
20,compute-chain,tracked,16,1048576,8,1024,1024,201,4194,50642,264292,194944,16
21,compute-chain,tracked,16,1048576,8,1024,1024,221,4106,52240,265323,195040,16
22,compute-chain,tracked,16,1048576,8,1024,1024,182,4133,51106,264109,194752,16
23,compute-chain,tracked,16,1048576,8,1024,1024,192,4091,50121,262704,194176,16
24,compute-chain,tracked,16,1048576,8,1024,1024,188,4148,50394,264809,195104,16
25,compute-chain,tracked,16,1048576,8,1024,1024,194,4104,50920,266519,194560,16
26,compute-chain,tracked,16,1048576,8,1024,1024,181,4139,50664,263876,194464,16
27,compute-chain,tracked,16,1048576,8,1024,1024,184,4080,50549,264411,194880,16
28,compute-chain,tracked,16,1048576,8,1024,1024,204,4168,50523,264778,194400,16
29,compute-chain,tracked,16,1048576,8,1024,1024,188,4070,50656,263989,194496,16
# validation_hash,fnv1a64:1051691fc9daa325
