# collection_id,20260725T060107Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,1160,20113,2886,172399,141568,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,2290,19790,2796,191015,146464,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,1172,20871,2414,184902,142112,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,1571,21040,2575,185443,141600,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,1167,21020,2400,184453,141856,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,1183,20358,3084,178309,146624,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,2244,20377,2598,173313,141600,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,1256,20477,2674,173335,142016,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,1214,20025,2469,174031,141920,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,1227,20138,2767,172349,141760,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,1132,19192,2438,186522,141696,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,1252,20313,2623,173801,141696,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,1193,19908,2717,173235,141664,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,1232,20374,2638,173741,141984,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,1194,20081,2652,173384,142080,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,1188,19949,2510,173497,141632,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,1163,20107,2633,172669,141120,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,1476,20129,2987,173341,142016,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,1118,19921,3237,173655,141632,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,1250,20274,2708,173579,141856,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,1178,19323,2655,172802,141408,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,1175,20131,2438,174143,142304,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,1150,20009,2661,173495,141984,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,1201,20093,2506,173428,141376,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,1143,20099,2913,172924,141504,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,1260,20176,2536,172435,141024,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,1186,20001,2678,174019,142080,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,1219,20217,2463,173292,141696,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,1093,19874,2687,172305,141408,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,1225,20068,2541,173856,141568,16
# validation_hash,fnv1a64:161975f4e03e1a92
