# collection_id,20260725T060107Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,169,5738,59939,226571,162112,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,208,5662,71034,226402,161984,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,183,5642,70686,226735,162304,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,186,5601,74536,233077,162048,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,177,5672,72168,226957,162016,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,194,5647,70598,229089,161952,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,210,5944,59720,230340,162048,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,196,5878,62226,226294,161856,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,166,5583,68991,225864,162048,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,188,5625,68292,228630,162080,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,202,5864,58969,229322,161888,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,210,6077,60242,228472,161888,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,197,6068,59290,228939,162016,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,204,6086,59000,228472,161920,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,178,6099,59244,228910,162016,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,176,6023,58860,227623,162112,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,206,6012,59181,228199,162080,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,187,5996,68309,227822,162240,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,192,6005,60697,228845,162016,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,176,6075,62597,228992,161984,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,183,6083,59342,228722,162176,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,202,5925,59520,227633,161888,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,214,6054,59586,228240,161920,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,186,6078,59084,230924,161888,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,200,6084,59819,228660,162208,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,202,6024,59488,229414,161760,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,180,5990,58959,227863,161920,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,184,5922,58939,229413,162016,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,172,5956,59039,228959,161856,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,186,5949,59253,228822,162080,16
# validation_hash,fnv1a64:de1814328067f325
