# collection_id,20260725T060107Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,1355,12243,4216,236911,164480,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,1367,13884,16441,189075,164160,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,3031,13964,3123,207388,168352,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,2349,13934,2524,207490,166208,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,1392,15290,15594,194311,168640,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,1371,15918,2640,206365,166496,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,1332,14078,2753,207080,168096,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,1326,13556,3025,207139,164992,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,1188,13705,2929,193205,164384,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,1396,14115,3216,193070,164352,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,1332,12616,3102,193150,164032,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,1446,14228,2643,193231,164608,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,1322,13988,3142,193502,164704,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,1303,14194,3243,193276,164160,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,1332,13897,3540,193021,164480,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,1256,12852,3352,193685,164640,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,1220,14282,2708,194822,166144,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,1395,14897,3167,192465,164064,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,1396,12729,3694,193825,164800,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,1249,14352,2645,193715,164512,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,1369,14161,2650,195960,166976,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,1381,14359,2528,193568,164736,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,1200,12763,3210,195967,167008,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,1530,14965,2558,192696,164000,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,1365,14107,3045,193354,164928,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,1462,13559,2774,195372,166336,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,1417,14070,2692,192614,164096,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,1360,14240,2676,194052,164896,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,1399,13145,3399,193580,164896,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,1457,14332,3081,195041,166144,16
# validation_hash,fnv1a64:1051691fc9daa325
