# collection_id,20260725T060322Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,2755,7063,21189,3704318,3582680,16
1,compute-chain,automatic,16,1048576,8,1024,1024,2585,12393,20728,3692025,3558640,16
2,compute-chain,automatic,16,1048576,8,1024,1024,2705,11130,24956,3720707,3557200,16
3,compute-chain,automatic,16,1048576,8,1024,1024,4528,13695,35646,3724765,3571360,16
4,compute-chain,automatic,16,1048576,8,1024,1024,5700,12503,37540,3683078,3542760,16
5,compute-chain,automatic,16,1048576,8,1024,1024,4549,13866,34684,3699799,3560960,16
6,compute-chain,automatic,16,1048576,8,1024,1024,4739,13415,34464,3677227,3549440,16
7,compute-chain,automatic,16,1048576,8,1024,1024,4489,13625,34785,3670224,3537920,16
8,compute-chain,automatic,16,1048576,8,1024,1024,4478,13906,34764,3666428,3534480,16
9,compute-chain,automatic,16,1048576,8,1024,1024,18705,12262,36467,3730886,3543680,16
10,compute-chain,automatic,16,1048576,8,1024,1024,14617,17993,71782,3819520,3533640,16
11,compute-chain,automatic,16,1048576,8,1024,1024,13254,19897,61022,4732312,3698360,16
12,compute-chain,automatic,16,1048576,8,1024,1024,31348,27070,97219,4002468,3582600,16
13,compute-chain,automatic,16,1048576,8,1024,1024,33241,27050,96949,4185223,3598040,16
14,compute-chain,automatic,16,1048576,8,1024,1024,28493,26308,98412,4025139,3568960,16
15,compute-chain,automatic,16,1048576,8,1024,1024,28873,26038,107157,4305806,3570920,16
16,compute-chain,automatic,16,1048576,8,1024,1024,30827,26679,120993,3964567,3555760,16
17,compute-chain,automatic,16,1048576,8,1024,1024,54460,23484,98211,4235727,3582200,16
18,compute-chain,automatic,16,1048576,8,1024,1024,28813,26499,99022,3917822,3602680,16
19,compute-chain,automatic,16,1048576,8,1024,1024,29664,25227,103470,3978733,3606040,16
20,compute-chain,automatic,16,1048576,8,1024,1024,29254,23644,94795,3881625,3574240,16
21,compute-chain,automatic,16,1048576,8,1024,1024,29023,26579,99553,3906280,3563320,16
22,compute-chain,automatic,16,1048576,8,1024,1024,28713,23272,117196,3853542,3563120,16
23,compute-chain,automatic,16,1048576,8,1024,1024,28683,26058,123498,3958195,3637440,16
24,compute-chain,automatic,16,1048576,8,1024,1024,107017,24906,92841,3827906,3565560,16
25,compute-chain,automatic,16,1048576,8,1024,1024,30085,23373,102549,4012515,3573480,16
26,compute-chain,automatic,16,1048576,8,1024,1024,30105,26759,98932,3878118,3610600,16
27,compute-chain,automatic,16,1048576,8,1024,1024,35626,29334,101828,3863251,3644120,16
28,compute-chain,automatic,16,1048576,8,1024,1024,13876,17352,66302,3801897,3511000,16
29,compute-chain,automatic,16,1048576,8,1024,1024,13605,17703,63207,3651190,3517320,16
# validation_hash,fnv1a64:1051691fc9daa325
