# collection_id,20260725T060322Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,2635,9667,20878,3724525,3589200,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,2665,11651,19967,3699028,3566000,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,3166,12173,21029,3690242,3558040,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,2865,10600,27941,3669394,3540200,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,2715,10770,27551,3678400,3549760,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,2665,10409,27530,3695371,3543800,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,2624,10469,27181,3681094,3553120,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,2644,7554,26459,3741517,3544320,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,2594,11982,25257,3664314,3527040,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,4518,12513,34093,3667269,3535160,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,7524,12513,34924,3659154,3535200,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,2825,12253,23994,3668201,3533800,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,2645,10769,26478,3644007,3521440,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,2685,10529,26419,3656970,3536920,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,4528,13906,34183,3663262,3530520,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,4669,13595,33893,3663292,3530640,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,4899,13575,35005,3633116,3515440,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,2675,10399,28433,3646230,3523880,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,2805,12073,25857,3649075,3522040,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,2605,12092,25758,3629860,3503840,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,2615,9537,28313,3637184,3516640,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,2364,10350,25296,3644708,3515640,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,4618,13425,34995,3646791,3520920,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,4007,14828,34534,3642493,3516960,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,6623,12593,38321,3646060,3516840,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,2655,10119,26949,3634759,3514640,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,2585,10229,27160,3626674,3510960,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,2615,10169,27050,3634830,3514720,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,2655,10720,25898,3653253,3513720,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,2635,11331,26488,3605315,3514640,16
# validation_hash,fnv1a64:1051691fc9daa325
