# collection_id,20260725T060322Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all,16,1048576,8,1024,1024,6432,89975,35987,3868320,3523960,16
1,graphics-independent,explicit-all,16,1048576,8,1024,1024,3046,53038,21830,3515119,3380240,16
2,graphics-independent,explicit-all,16,1048576,8,1024,1024,6431,85468,48269,3573536,3256960,16
3,graphics-independent,explicit-all,16,1048576,8,1024,1024,6271,85979,43861,3489762,3164960,16
4,graphics-independent,explicit-all,16,1048576,8,1024,1024,10249,89485,52116,3369100,3072680,16
5,graphics-independent,explicit-all,16,1048576,8,1024,1024,3006,53118,21469,3150417,3021040,16
6,graphics-independent,explicit-all,16,1048576,8,1024,1024,2915,58007,20858,3084064,2955880,16
7,graphics-independent,explicit-all,16,1048576,8,1024,1024,2995,52116,21460,3023443,2895160,16
8,graphics-independent,explicit-all,16,1048576,8,1024,1024,2985,51865,21620,2975966,2847960,16
9,graphics-independent,explicit-all,16,1048576,8,1024,1024,3166,52607,22191,2928097,2801040,16
10,graphics-independent,explicit-all,16,1048576,8,1024,1024,3066,52026,21449,2896179,2754560,16
11,graphics-independent,explicit-all,16,1048576,8,1024,1024,2614,50623,20779,2854311,2722800,16
12,graphics-independent,explicit-all,16,1048576,8,1024,1024,3015,52497,20939,2811712,2684320,16
13,graphics-independent,explicit-all,16,1048576,8,1024,1024,2966,51465,21470,2781878,2654360,16
14,graphics-independent,explicit-all,16,1048576,8,1024,1024,2895,58387,127425,2894825,2628640,16
15,graphics-independent,explicit-all,16,1048576,8,1024,1024,19376,114622,73976,2874419,2609640,16
16,graphics-independent,explicit-all,16,1048576,8,1024,1024,12834,112357,73125,2801994,2576120,16
17,graphics-independent,explicit-all,16,1048576,8,1024,1024,12423,116154,62596,2832290,2549480,16
18,graphics-independent,explicit-all,16,1048576,8,1024,1024,12823,116925,60111,2753245,2527000,16
19,graphics-independent,explicit-all,16,1048576,8,1024,1024,12733,117346,60181,2774995,2506640,16
20,graphics-independent,explicit-all,16,1048576,8,1024,1024,12763,116064,59539,2727316,2493360,16
21,graphics-independent,explicit-all,16,1048576,8,1024,1024,12703,119099,63166,2728119,2476960,16
22,graphics-independent,explicit-all,16,1048576,8,1024,1024,13505,118237,61082,2683937,2455000,16
23,graphics-independent,explicit-all,16,1048576,8,1024,1024,13425,124940,76851,3014236,2594720,16
24,graphics-independent,explicit-all,16,1048576,8,1024,1024,29204,132744,93442,2877594,2434240,16
25,graphics-independent,explicit-all,16,1048576,8,1024,1024,29224,128577,99454,3126593,2460160,16
26,graphics-independent,explicit-all,16,1048576,8,1024,1024,28543,130331,115082,2713852,2455160,16
27,graphics-independent,explicit-all,16,1048576,8,1024,1024,28693,136081,121965,2994840,2411440,16
28,graphics-independent,explicit-all,16,1048576,8,1024,1024,29645,133185,100035,2758404,2410400,16
29,graphics-independent,explicit-all,16,1048576,8,1024,1024,29494,135019,94565,3440251,2426000,16
# validation_hash,fnv1a64:161975f4e03e1a92
