# collection_id,20260725T060322Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# vendor_id,0x1002
# device_id,0x15bf
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:65:00.0"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,3135,24194,421988,5097065,3925040,16
1,compute-chain,tracked,16,1048576,8,1024,1024,3046,24465,460178,4464979,3919880,16
2,compute-chain,tracked,16,1048576,8,1024,1024,3066,25086,473834,5107124,3927080,16
3,compute-chain,tracked,16,1048576,8,1024,1024,3026,25447,456271,4367721,3891320,16
4,compute-chain,tracked,16,1048576,8,1024,1024,3056,25707,437306,4485418,3877880,16
5,compute-chain,tracked,16,1048576,8,1024,1024,3116,25978,445300,5046551,3879160,16
6,compute-chain,tracked,16,1048576,8,1024,1024,3236,25497,479434,4311217,3897680,16
7,compute-chain,tracked,16,1048576,8,1024,1024,3075,25277,465648,4483134,3862880,16
8,compute-chain,tracked,16,1048576,8,1024,1024,3136,25517,459387,4306087,3870000,16
9,compute-chain,tracked,16,1048576,8,1024,1024,2936,25547,467282,4258318,3879840,16
10,compute-chain,tracked,16,1048576,8,1024,1024,3116,24716,430954,4427952,3842440,16
11,compute-chain,tracked,16,1048576,8,1024,1024,3136,25547,434851,4462005,3847800,16
12,compute-chain,tracked,16,1048576,8,1024,1024,2935,24435,440322,4576475,3860640,16
13,compute-chain,tracked,16,1048576,8,1024,1024,3216,25547,436584,4468898,3842080,16
14,compute-chain,tracked,16,1048576,8,1024,1024,2816,25266,434401,4934375,3822040,16
15,compute-chain,tracked,16,1048576,8,1024,1024,2956,24836,471058,4181788,3801120,16
16,compute-chain,tracked,16,1048576,8,1024,1024,3146,24505,430604,4378531,3798200,16
17,compute-chain,tracked,16,1048576,8,1024,1024,3156,25266,435693,4413394,3795160,16
18,compute-chain,tracked,16,1048576,8,1024,1024,2906,24525,431586,4226600,3812560,16
19,compute-chain,tracked,16,1048576,8,1024,1024,3006,24876,473152,4186236,3796960,16
20,compute-chain,tracked,16,1048576,8,1024,1024,3105,24445,472160,4267346,3797520,16
21,compute-chain,tracked,16,1048576,8,1024,1024,3337,24906,433108,4354897,3796600,16
22,compute-chain,tracked,16,1048576,8,1024,1024,3166,24986,436856,4237431,3781120,16
23,compute-chain,tracked,16,1048576,8,1024,1024,3116,55102,436675,4271022,3789120,16
24,compute-chain,tracked,16,1048576,8,1024,1024,3106,24936,468934,4320353,3782320,16
25,compute-chain,tracked,16,1048576,8,1024,1024,3076,25236,457133,4214338,3792800,16
26,compute-chain,tracked,16,1048576,8,1024,1024,2946,25106,435162,4365486,3787680,16
27,compute-chain,tracked,16,1048576,8,1024,1024,3085,25027,435923,4145090,3763680,16
28,compute-chain,tracked,16,1048576,8,1024,1024,3166,24826,465588,4288073,3771920,16
29,compute-chain,tracked,16,1048576,8,1024,1024,3336,25076,477921,4448970,3758320,16
# validation_hash,fnv1a64:1051691fc9daa325
