# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all,16,1048576,8,1024,1024,2695,7544,21830,3701833,3582640,16
1,compute-independent,explicit-all,16,1048576,8,1024,1024,2745,12303,20227,3767975,3570440,16
2,compute-independent,explicit-all,16,1048576,8,1024,1024,2605,12042,19346,3688759,3560120,16
3,compute-independent,explicit-all,16,1048576,8,1024,1024,2625,10820,28061,3690572,3563280,16
4,compute-independent,explicit-all,16,1048576,8,1024,1024,2555,10419,28393,3688067,3559240,16
5,compute-independent,explicit-all,16,1048576,8,1024,1024,2585,10680,27701,3688839,3560480,16
6,compute-independent,explicit-all,16,1048576,8,1024,1024,2585,10409,26819,3684221,3550080,16
7,compute-independent,explicit-all,16,1048576,8,1024,1024,2765,11762,26269,3690832,3564400,16
8,compute-independent,explicit-all,16,1048576,8,1024,1024,2684,10219,28713,3673210,3546720,16
9,compute-independent,explicit-all,16,1048576,8,1024,1024,2625,10500,28733,3674362,3548560,16
10,compute-independent,explicit-all,16,1048576,8,1024,1024,2605,11051,27741,3695973,3540160,16
11,compute-independent,explicit-all,16,1048576,8,1024,1024,4468,14086,34394,3672569,3538480,16
12,compute-independent,explicit-all,16,1048576,8,1024,1024,4438,14587,34203,3681386,3540000,16
13,compute-independent,explicit-all,16,1048576,8,1024,1024,15038,25106,68817,3871025,3538240,16
14,compute-independent,explicit-all,16,1048576,8,1024,1024,12793,18144,62836,3851719,3534320,16
15,compute-independent,explicit-all,16,1048576,8,1024,1024,12964,17652,63818,3733923,3531920,16
16,compute-independent,explicit-all,16,1048576,8,1024,1024,13255,18304,60451,3705169,3529880,16
17,compute-independent,explicit-all,16,1048576,8,1024,1024,13164,18063,60031,4288474,3732120,16
18,compute-independent,explicit-all,16,1048576,8,1024,1024,29995,33592,114651,4280379,3573640,16
19,compute-independent,explicit-all,16,1048576,8,1024,1024,29975,24064,93292,3840138,3570840,16
20,compute-independent,explicit-all,16,1048576,8,1024,1024,28553,24415,95206,4087223,3563160,16
21,compute-independent,explicit-all,16,1048576,8,1024,1024,30526,24515,127325,3884790,3575440,16
22,compute-independent,explicit-all,16,1048576,8,1024,1024,29254,49461,94293,4092933,3596200,16
23,compute-independent,explicit-all,16,1048576,8,1024,1024,30957,23604,94464,4114304,3566760,16
24,compute-independent,explicit-all,16,1048576,8,1024,1024,28693,23733,101627,4103383,3563680,16
25,compute-independent,explicit-all,16,1048576,8,1024,1024,30126,24465,94704,4608114,3578080,16
26,compute-independent,explicit-all,16,1048576,8,1024,1024,31879,24215,94684,3835660,3569680,16
27,compute-independent,explicit-all,16,1048576,8,1024,1024,29535,23523,97640,4033304,3573560,16
28,compute-independent,explicit-all,16,1048576,8,1024,1024,30275,23934,94404,3883488,3569960,16
29,compute-independent,explicit-all,16,1048576,8,1024,1024,27821,23974,123157,3896943,3601640,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
