# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,2916,22201,20418,2752713,2612520,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,2916,22913,24064,2680891,2570960,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,2846,22322,20688,2639565,2503120,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,2906,22191,22752,2584253,2444840,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,2765,22191,22591,2533539,2388720,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,2885,22342,21790,2479600,2334680,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,2875,22041,21519,2427705,2289520,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,2685,22231,24695,2414170,2243520,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,2865,22561,21961,2344832,2202400,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,2885,22131,22532,2315648,2173760,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,2835,29314,22802,2267199,2136320,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,2895,22251,21981,2240109,2107640,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,5530,24025,36637,2243916,2072320,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,2725,27191,23974,2222807,2045720,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,2845,23012,23143,2156114,2017040,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,2826,22631,23023,2135486,1995680,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,2595,22091,21610,2114608,1969440,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,3106,23012,26089,2095692,1954160,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,2825,22251,22742,2069765,1930160,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,2806,22402,22892,2091735,1906320,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,2645,22361,22772,2031415,1891720,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,2695,22351,23683,2007681,1871360,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,2755,22511,23483,1990138,1853080,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,2785,22331,22471,1974439,1836560,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,2695,21950,23053,1961014,1823280,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,2866,22331,23894,1935878,1800600,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,2835,21980,22822,1929547,1792400,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,2885,22421,23764,1914098,1777880,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,2755,22101,24074,1931981,1764160,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,2575,22041,20678,1854208,1753000,16
# validation_hash,fnv1a64:de1814328067f325
