# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,2926,26749,20488,2733579,2614120,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,2905,29053,21179,2740240,2614680,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,2916,27230,21079,2752343,2622000,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,2835,27451,20828,2735291,2610240,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,3165,29384,21911,2762942,2549600,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,3377,27500,21239,2615691,2477640,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,2705,27370,20477,2558025,2420120,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,3026,27571,21009,2491913,2355920,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,2915,27681,20598,2451749,2316160,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,2926,27530,20769,2400153,2265480,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,2965,28212,20858,2417936,2225880,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,2845,27772,20538,2325005,2191520,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,2775,26569,23904,2283359,2147520,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,2935,28061,20879,2310609,2112560,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,2835,27981,20588,2216155,2084040,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,2876,27601,20528,2184887,2053000,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,2895,27641,20798,2160182,2027240,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,3246,28894,21870,2129686,2001960,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,2955,27391,20678,2100742,1977880,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,3106,28152,21530,2083099,1955000,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,2554,28152,20418,2060247,1929400,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,2915,27471,21750,2047695,1913080,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,2995,26489,116234,2201527,1888880,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,13595,66733,70781,2124326,1868840,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,12804,65301,67755,2104298,1851560,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,12653,84245,68997,2056711,1837480,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,12523,69087,70881,2067851,1826320,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,12793,66352,60952,2117984,1810720,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,12894,66793,61333,2060357,1792800,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,12733,67524,103590,1991961,1782400,16
# validation_hash,fnv1a64:de1814328067f325
