# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,2946,22121,20508,2689978,2614480,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,2745,22722,20768,2698975,2617000,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,3136,23082,27601,2687805,2615440,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,3256,23374,21439,2687013,2605160,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,2985,22772,21350,2620199,2538400,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,2885,22882,21019,2553988,2468240,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,3626,24495,22571,2533970,2404640,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,3176,23012,21730,2527709,2347320,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,2975,23183,21290,2436500,2297920,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,2806,22502,22722,2399753,2254840,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,3106,23634,36898,2349500,2208720,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,3016,23052,23063,2314045,2171720,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,2755,22873,23213,2280934,2139120,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,5269,22872,28132,2237163,2100240,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,2956,22832,21239,2214382,2070600,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,2945,22892,22882,2225292,2044720,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,2665,22591,21931,2154681,2017720,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,3126,22912,23784,2122833,1984240,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,3196,23223,23824,2096213,1966640,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,2786,22762,22561,2082869,1943360,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,2815,22682,22512,2066268,1927000,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,2775,22141,23323,2039760,1900720,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,2765,22691,22782,2022167,1883720,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,2795,23093,23884,1999335,1862080,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,2995,22973,22050,1971774,1844160,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,2675,22632,23162,1992793,1831120,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,2645,31678,21600,1944615,1814560,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,3236,23674,23383,1931079,1798160,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,3496,29905,22993,1910982,1782680,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,2785,22571,27100,1903239,1770320,16
# validation_hash,fnv1a64:de1814328067f325
