# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,5972,89996,38060,3944200,3594240,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,5811,84436,41767,3777964,3443360,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,7714,88694,41356,3636684,3313520,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,5670,86239,36888,3554411,3224720,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,5630,93442,36708,3456831,3119960,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,13945,113069,72744,3313347,3044800,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,13695,107869,71071,3343623,3071880,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,29113,128687,101277,3576442,2949760,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,31107,127515,104933,4017334,2911720,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,29274,130630,105514,3588364,3036120,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,29965,135319,104373,3183157,2886000,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,28382,129128,125421,3362227,2817080,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,29174,131162,104453,3536679,2845160,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,28372,132815,103661,3012012,2773440,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,14116,66683,35255,2894565,2729280,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,3807,57486,24605,2859281,2734360,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,3496,53969,27801,2874027,2681280,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,3035,51945,24746,2843431,2645600,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,3086,52156,27521,2819356,2624280,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,2975,52396,35927,2774924,2594120,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,9217,54691,28412,2746462,2571080,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,3246,52506,26859,2735031,2543840,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,3126,51896,26228,2658300,2526480,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,2995,50633,26419,2642852,2515720,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,3165,51254,26098,2628495,2498320,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,2845,52697,29124,2677986,2498120,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,3106,50222,26579,2615852,2484680,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,3246,53428,25858,2655365,2475680,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,3055,51315,26819,2601485,2471000,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,3066,50113,40645,2715435,2399360,16
# validation_hash,fnv1a64:161975f4e03e1a92
