# collection_id,20260725T060322Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# vendor_id,0x1002
# device_id,0x15bf
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:65:00.0"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,571,12433,203105,3171396,2895120,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,501,12664,253086,3158051,2899280,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,581,13134,225877,3163370,2905360,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,541,12143,233520,3145929,2894520,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,521,12713,226508,3153603,2824880,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,491,12262,222080,3016800,2766880,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,511,12372,231117,2952251,2700600,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,531,12573,225054,2897111,2641440,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,521,12432,224864,2827972,2588760,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,521,12092,222870,2779493,2543040,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,521,11922,221579,2827361,2495520,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,451,12222,215407,2695568,2464520,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,531,12623,222831,2746392,2422880,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,551,12483,227749,2637392,2405240,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,581,12343,224344,2593099,2361840,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,451,12173,228080,2613257,2327560,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,561,12613,231547,2509065,2291960,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,461,11952,220427,2608868,2276120,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,571,13425,225145,2485181,2253680,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,450,12213,223161,2454554,2229720,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,561,12332,232137,2436832,2211680,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,601,12873,245111,2428296,2192640,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,541,12212,220236,2404693,2179120,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,451,11912,238479,2378163,2153240,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,491,11852,218703,2365380,2138880,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,491,12082,223572,2333350,2109480,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,491,12132,223823,2378253,2096840,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,541,11912,222140,2304878,2081680,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,491,11962,233991,2288077,2066000,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,541,12043,225926,2285643,2062560,16
# validation_hash,fnv1a64:de1814328067f325
