# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,2705,7844,21129,3692366,3577120,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,2915,11832,20878,3696684,3563840,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,2735,12553,23513,3687758,3556280,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,2925,12403,25687,3674323,3544160,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,2925,11501,25517,3672349,3547320,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,2895,12964,18985,3768305,3556160,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,2856,12382,23364,3683168,3554960,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,2715,11701,24374,3668461,3541240,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,2845,12754,24174,3663153,3541040,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,2965,9397,20117,3665176,3529680,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,5180,14026,34253,3671668,3539480,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,4929,13515,33772,3664765,3538080,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,4869,14266,35065,3663422,3533600,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,5159,13475,34093,3656199,3527760,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,4859,13425,33842,3647163,3522560,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,4608,14056,33892,3657341,3530640,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,2875,12113,24966,3643245,3522840,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,2635,10981,27851,3640370,3517360,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,2655,11942,25397,3643476,3525320,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,2705,10440,27080,3637715,3515200,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,2755,12013,25396,3643725,3521240,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,2885,11842,21630,3649206,3525360,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,2355,10810,26830,3646822,3525000,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,2615,12333,24846,3644026,3522360,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,2655,12002,24575,3643215,3521760,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,2655,11922,25306,3648344,3523480,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,2705,10931,26629,3640480,3519480,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,2715,10750,26239,3646451,3525640,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,2885,12022,24625,3710019,3523160,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,5921,7444,20738,3638366,3514360,16
# validation_hash,fnv1a64:1051691fc9daa325
