# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,2665,7263,20508,3706812,3586000,16
1,compute-independent,automatic,16,1048576,8,1024,1024,2736,10810,20778,3698637,3566200,16
2,compute-independent,automatic,16,1048576,8,1024,1024,2654,12142,24806,3696984,3566240,16
3,compute-independent,automatic,16,1048576,8,1024,1024,2815,11351,26298,3684441,3555240,16
4,compute-independent,automatic,16,1048576,8,1024,1024,2655,11482,26108,3688358,3564800,16
5,compute-independent,automatic,16,1048576,8,1024,1024,2826,10089,27360,3684321,3555520,16
6,compute-independent,automatic,16,1048576,8,1024,1024,2575,12092,24885,3689742,3562400,16
7,compute-independent,automatic,16,1048576,8,1024,1024,2895,11972,25667,3683810,3561640,16
8,compute-independent,automatic,16,1048576,8,1024,1024,2675,10449,28192,3720557,3591640,16
9,compute-independent,automatic,16,1048576,8,1024,1024,5330,12503,26489,3682687,3555400,16
10,compute-independent,automatic,16,1048576,8,1024,1024,2985,12063,25437,3658262,3537720,16
11,compute-independent,automatic,16,1048576,8,1024,1024,2665,10349,20658,3659706,3535000,16
12,compute-independent,automatic,16,1048576,8,1024,1024,2425,10340,28131,3657872,3533680,16
13,compute-independent,automatic,16,1048576,8,1024,1024,2665,11371,26900,3723403,3531600,16
14,compute-independent,automatic,16,1048576,8,1024,1024,2424,9177,21029,3648024,3540000,16
15,compute-independent,automatic,16,1048576,8,1024,1024,2425,10179,27340,3664845,3542080,16
16,compute-independent,automatic,16,1048576,8,1024,1024,2434,8997,22071,3635781,3529680,16
17,compute-independent,automatic,16,1048576,8,1024,1024,2455,9707,27851,3647994,3526360,16
18,compute-independent,automatic,16,1048576,8,1024,1024,2384,9127,20618,3635411,3528000,16
19,compute-independent,automatic,16,1048576,8,1024,1024,2615,11742,25687,3649497,3527360,16
20,compute-independent,automatic,16,1048576,8,1024,1024,2475,11481,26318,3642444,3525320,16
21,compute-independent,automatic,16,1048576,8,1024,1024,12293,7514,21289,3657451,3529760,16
22,compute-independent,automatic,16,1048576,8,1024,1024,2735,11361,27250,3645930,3524480,16
23,compute-independent,automatic,16,1048576,8,1024,1024,2495,10289,26910,3643546,3524040,16
24,compute-independent,automatic,16,1048576,8,1024,1024,3666,12543,28323,3657020,3536320,16
25,compute-independent,automatic,16,1048576,8,1024,1024,2425,10369,27962,3653404,3532400,16
26,compute-independent,automatic,16,1048576,8,1024,1024,2625,10389,28072,3666748,3527360,16
27,compute-independent,automatic,16,1048576,8,1024,1024,2605,10239,25998,3639158,3522880,16
28,compute-independent,automatic,16,1048576,8,1024,1024,2504,11772,25477,3656589,3535960,16
29,compute-independent,automatic,16,1048576,8,1024,1024,2524,12313,25627,3653415,3534200,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
