# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only,16,1048576,8,1024,1024,13024,12944,63698,4019659,3801440,16
1,compute-independent,hazard-only,16,1048576,8,1024,1024,13024,13525,62655,4213576,4001680,16
2,compute-independent,hazard-only,16,1048576,8,1024,1024,12844,13104,72945,4047590,3890520,16
3,compute-independent,hazard-only,16,1048576,8,1024,1024,12683,13425,62255,4116357,3891760,16
4,compute-independent,hazard-only,16,1048576,8,1024,1024,12804,13274,69919,4233163,3901000,16
5,compute-independent,hazard-only,16,1048576,8,1024,1024,18915,13455,62726,4137216,3918720,16
6,compute-independent,hazard-only,16,1048576,8,1024,1024,19226,13445,79417,4219236,3912200,16
7,compute-independent,hazard-only,16,1048576,8,1024,1024,12864,13155,62605,4007467,3858640,16
8,compute-independent,hazard-only,16,1048576,8,1024,1024,12884,13314,62466,4026661,3856080,16
9,compute-independent,hazard-only,16,1048576,8,1024,1024,12844,13935,62646,4018737,3905000,16
10,compute-independent,hazard-only,16,1048576,8,1024,1024,12904,13364,62225,3969206,3838840,16
11,compute-independent,hazard-only,16,1048576,8,1024,1024,12924,13285,62505,4036931,3874720,16
12,compute-independent,hazard-only,16,1048576,8,1024,1024,17702,13144,65020,4137466,3846960,16
13,compute-independent,hazard-only,16,1048576,8,1024,1024,14376,13916,62235,3993591,3829880,16
14,compute-independent,hazard-only,16,1048576,8,1024,1024,14477,13494,63527,4081302,3909200,16
15,compute-independent,hazard-only,16,1048576,8,1024,1024,12864,14617,62245,4178892,3882440,16
16,compute-independent,hazard-only,16,1048576,8,1024,1024,12754,13084,62265,4173342,3871120,16
17,compute-independent,hazard-only,16,1048576,8,1024,1024,14606,13485,83504,4173883,3883440,16
18,compute-independent,hazard-only,16,1048576,8,1024,1024,16361,45003,38280,4070733,3819880,16
19,compute-independent,hazard-only,16,1048576,8,1024,1024,12593,10008,31678,4045847,3913320,16
20,compute-independent,hazard-only,16,1048576,8,1024,1024,4428,6712,44983,4099687,3939080,16
21,compute-independent,hazard-only,16,1048576,8,1024,1024,13295,13324,66253,4112239,3830720,16
22,compute-independent,hazard-only,16,1048576,8,1024,1024,12803,13034,78244,4150430,3864920,16
23,compute-independent,hazard-only,16,1048576,8,1024,1024,37830,25076,43420,3996466,3840360,16
24,compute-independent,hazard-only,16,1048576,8,1024,1024,14948,7023,32821,4184793,4023160,16
25,compute-independent,hazard-only,16,1048576,8,1024,1024,14938,6983,28423,3897183,3811120,16
26,compute-independent,hazard-only,16,1048576,8,1024,1024,3306,5681,23133,3987319,3917560,16
27,compute-independent,hazard-only,16,1048576,8,1024,1024,3547,5921,23964,3968124,3901920,16
28,compute-independent,hazard-only,16,1048576,8,1024,1024,4038,5981,24605,4156701,4037160,16
29,compute-independent,hazard-only,16,1048576,8,1024,1024,3657,5791,22261,4022765,3957200,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
