# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,16,1048576,8,1024,1024,2985,45895,21179,3447815,3354960,16
1,graphics-independent,hazard-only,16,1048576,8,1024,1024,3136,46936,24726,3418791,3324600,16
2,graphics-independent,hazard-only,16,1048576,8,1024,1024,2996,46396,22451,3422188,3302000,16
3,graphics-independent,hazard-only,16,1048576,8,1024,1024,3025,47187,23283,3403795,3307440,16
4,graphics-independent,hazard-only,16,1048576,8,1024,1024,2925,46506,21540,3388676,3296360,16
5,graphics-independent,hazard-only,16,1048576,8,1024,1024,3055,47247,23353,3387103,3292920,16
6,graphics-independent,hazard-only,16,1048576,8,1024,1024,3095,47056,21690,3377374,3282440,16
7,graphics-independent,hazard-only,16,1048576,8,1024,1024,3115,155737,68546,3516342,3274640,16
8,graphics-independent,hazard-only,16,1048576,8,1024,1024,13184,109341,73475,3515851,3268920,16
9,graphics-independent,hazard-only,16,1048576,8,1024,1024,12744,108480,73305,3490734,3266920,16
10,graphics-independent,hazard-only,16,1048576,8,1024,1024,13265,106637,73706,3489091,3260160,16
11,graphics-independent,hazard-only,16,1048576,8,1024,1024,13265,126944,74959,3555593,3263720,16
12,graphics-independent,hazard-only,16,1048576,8,1024,1024,12573,109301,83594,3474565,3251040,16
13,graphics-independent,hazard-only,16,1048576,8,1024,1024,13304,108189,73195,3763397,3448720,16
14,graphics-independent,hazard-only,16,1048576,8,1024,1024,28753,126683,104041,3695240,3286280,16
15,graphics-independent,hazard-only,16,1048576,8,1024,1024,30897,126524,106386,3794123,3288640,16
16,graphics-independent,hazard-only,16,1048576,8,1024,1024,29244,126504,95626,4081062,3297280,16
17,graphics-independent,hazard-only,16,1048576,8,1024,1024,29625,120402,136392,3685042,3311680,16
18,graphics-independent,hazard-only,16,1048576,8,1024,1024,28192,121203,129599,3845378,3362480,16
19,graphics-independent,hazard-only,16,1048576,8,1024,1024,28082,147862,101447,3637635,3319200,16
20,graphics-independent,hazard-only,16,1048576,8,1024,1024,27781,146440,103741,3682618,3294960,16
21,graphics-independent,hazard-only,16,1048576,8,1024,1024,28232,146571,105554,3654956,3287160,16
22,graphics-independent,hazard-only,16,1048576,8,1024,1024,28422,122135,131362,3615032,3297080,16
23,graphics-independent,hazard-only,16,1048576,8,1024,1024,27531,121224,135039,3608862,3319920,16
24,graphics-independent,hazard-only,16,1048576,8,1024,1024,28222,124379,106036,3587843,3278440,16
25,graphics-independent,hazard-only,16,1048576,8,1024,1024,33893,121363,107508,3935604,3264280,16
26,graphics-independent,hazard-only,16,1048576,8,1024,1024,31007,128046,128767,3589006,3284320,16
27,graphics-independent,hazard-only,16,1048576,8,1024,1024,28834,122917,106036,3615404,3298440,16
28,graphics-independent,hazard-only,16,1048576,8,1024,1024,28834,121434,104473,3855326,3267920,16
29,graphics-independent,hazard-only,16,1048576,8,1024,1024,30346,127645,98251,3633637,3296080,16
# validation_hash,fnv1a64:161975f4e03e1a92
