# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# vendor_id,0x1002
# device_id,0x15bf
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:65:00.0"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,3396,28903,420866,4358734,3920080,16
1,compute-independent,tracked,16,1048576,8,1024,1024,3497,29344,441554,4254131,3871000,16
2,compute-independent,tracked,16,1048576,8,1024,1024,1984,27380,360334,4462946,3991840,16
3,compute-independent,tracked,16,1048576,8,1024,1024,2846,39553,454637,4404718,4015320,16
4,compute-independent,tracked,16,1048576,8,1024,1024,2144,28372,391822,4373611,4020160,16
5,compute-independent,tracked,16,1048576,8,1024,1024,2074,22321,402011,4307540,3997000,16
6,compute-independent,tracked,16,1048576,8,1024,1024,1694,21700,371254,4282564,3986880,16
7,compute-independent,tracked,16,1048576,8,1024,1024,1413,16560,217040,4310706,4013720,16
8,compute-independent,tracked,16,1048576,8,1024,1024,1142,15839,216920,4328398,4035480,16
9,compute-independent,tracked,16,1048576,8,1024,1024,921,20498,229633,4273276,3982280,16
10,compute-independent,tracked,16,1048576,8,1024,1024,1082,18314,219554,4347904,4057360,16
11,compute-independent,tracked,16,1048576,8,1024,1024,1412,21149,213223,4336964,4048400,16
12,compute-independent,tracked,16,1048576,8,1024,1024,1793,21870,241035,4348254,4021680,16
13,compute-independent,tracked,16,1048576,8,1024,1024,712,13214,224184,4285749,4000000,16
14,compute-independent,tracked,16,1048576,8,1024,1024,1313,14076,474555,4376557,4073920,16
15,compute-independent,tracked,16,1048576,8,1024,1024,1282,22632,222821,4354135,4059000,16
16,compute-independent,tracked,16,1048576,8,1024,1024,1362,25307,506043,4334269,4035120,16
17,compute-independent,tracked,16,1048576,8,1024,1024,1162,23874,216429,4333487,4050120,16
18,compute-independent,tracked,16,1048576,8,1024,1024,1173,20728,217691,4260864,3986720,16
19,compute-independent,tracked,16,1048576,8,1024,1024,1293,22020,214436,4305245,4029680,16
20,compute-independent,tracked,16,1048576,8,1024,1024,1613,20528,223532,4434914,4052080,16
21,compute-independent,tracked,16,1048576,8,1024,1024,1172,21740,233220,4405981,4134440,16
22,compute-independent,tracked,16,1048576,8,1024,1024,1212,21901,219314,4392937,4081600,16
23,compute-independent,tracked,16,1048576,8,1024,1024,2605,23894,231276,4333377,4045640,16
24,compute-independent,tracked,16,1048576,8,1024,1024,892,13435,243098,4357341,4072520,16
25,compute-independent,tracked,16,1048576,8,1024,1024,821,22061,220016,4529809,4092400,16
26,compute-independent,tracked,16,1048576,8,1024,1024,1373,15017,228862,4338978,4056320,16
27,compute-independent,tracked,16,1048576,8,1024,1024,1032,21790,222069,4355809,4074040,16
28,compute-independent,tracked,16,1048576,8,1024,1024,3557,19716,244181,4463356,4080600,16
29,compute-independent,tracked,16,1048576,8,1024,1024,4388,15860,247496,4320393,4042360,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
