# collection_id,20260725T060322Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon 780M Graphics (RADV PHOENIX)"
# vendor_id,0x1002
# device_id,0x15bf
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:65:00.0"
# driver_name,"radv"
# driver_info,"Mesa 25.2.8-0ubuntu0.24.04.1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,3306,38410,581292,3661559,3249480,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,3055,39733,591390,3749621,3262920,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,3095,38581,586431,3938609,3228400,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,3216,38821,590188,3643967,3201760,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,3226,39513,587814,3831963,3240920,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,3076,38421,555584,3639568,3217720,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,3066,39693,602661,3641152,3233080,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,3056,39553,610536,3907041,3205120,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,3046,38421,562657,3565632,3161160,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,3166,40595,590759,3706631,3164080,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,3226,39273,699089,3415575,3087000,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,1442,30316,452665,3360234,3041680,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,1503,47628,444008,3333415,3013560,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,1492,29284,453145,3426035,2978960,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,3076,39052,594867,3370332,2973280,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,3065,40565,594486,3405958,2944760,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,3005,39733,591670,3365113,2910720,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,3155,40565,583476,3543090,2881120,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,3146,40906,557938,3462322,2839160,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,3156,39423,561444,3437836,2822800,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,3095,40314,558119,3370262,2812760,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,3186,39884,558329,3368950,2801600,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,3115,39492,560484,3881634,2776520,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,3266,40365,584166,3169321,2780080,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,3236,39243,592382,3218412,2767920,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,3166,39623,577394,3598754,2758600,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,3146,38862,589216,3151700,2760480,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,3196,39363,583275,3191202,2794960,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,3045,40225,558880,3730275,2772360,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,3196,39152,585459,3138494,2748600,16
# validation_hash,fnv1a64:161975f4e03e1a92
