repetition,index,implementation,workload,policy,file
1,0,wgpu,graphics-independent,tracked,r01__wgpu__graphics-independent__tracked.csv
1,1,blade,graphics-independent,automatic,r01__blade__graphics-independent__automatic.csv
1,2,wgpu,graphics-chain,tracked,r01__wgpu__graphics-chain__tracked.csv
1,3,blade,graphics-chain,automatic,r01__blade__graphics-chain__automatic.csv
1,4,wgpu,compute-chain,tracked,r01__wgpu__compute-chain__tracked.csv
1,5,wgpu,compute-independent,tracked,r01__wgpu__compute-independent__tracked.csv
1,6,blade,compute-chain,automatic,r01__blade__compute-chain__automatic.csv
1,7,blade,compute-independent,automatic,r01__blade__compute-independent__automatic.csv
2,0,wgpu,compute-independent,tracked,r02__wgpu__compute-independent__tracked.csv
2,1,blade,compute-chain,automatic,r02__blade__compute-chain__automatic.csv
2,2,wgpu,graphics-independent,tracked,r02__wgpu__graphics-independent__tracked.csv
2,3,wgpu,graphics-chain,tracked,r02__wgpu__graphics-chain__tracked.csv
2,4,blade,graphics-independent,automatic,r02__blade__graphics-independent__automatic.csv
2,5,blade,graphics-chain,automatic,r02__blade__graphics-chain__automatic.csv
2,6,wgpu,compute-chain,tracked,r02__wgpu__compute-chain__tracked.csv
2,7,blade,compute-independent,automatic,r02__blade__compute-independent__automatic.csv
3,0,blade,compute-independent,automatic,r03__blade__compute-independent__automatic.csv
3,1,blade,compute-chain,automatic,r03__blade__compute-chain__automatic.csv
3,2,blade,graphics-chain,automatic,r03__blade__graphics-chain__automatic.csv
3,3,wgpu,compute-independent,tracked,r03__wgpu__compute-independent__tracked.csv
3,4,wgpu,graphics-chain,tracked,r03__wgpu__graphics-chain__tracked.csv
3,5,blade,graphics-independent,automatic,r03__blade__graphics-independent__automatic.csv
3,6,wgpu,compute-chain,tracked,r03__wgpu__compute-chain__tracked.csv
3,7,wgpu,graphics-independent,tracked,r03__wgpu__graphics-independent__tracked.csv
