# collection_id,20260725T062529Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,metal
# device_name,"Apple M3"
# driver_name,"Metal"
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,5791,70459,2917,1581208,2239418,16
1,compute-independent,automatic,16,1048576,8,1024,1024,7125,66250,2750,1636833,2313875,16
2,compute-independent,automatic,16,1048576,8,1024,1024,5333,69959,2750,1594458,2168915,16
3,compute-independent,automatic,16,1048576,8,1024,1024,5125,69375,2667,1859042,2109750,16
4,compute-independent,automatic,16,1048576,8,1024,1024,4916,69125,2542,1914875,2367043,16
5,compute-independent,automatic,16,1048576,8,1024,1024,4458,73917,2541,1635083,2163249,16
6,compute-independent,automatic,16,1048576,8,1024,1024,5458,67041,2417,1588959,2228875,16
7,compute-independent,automatic,16,1048576,8,1024,1024,5500,67209,2792,1543208,2152666,16
8,compute-independent,automatic,16,1048576,8,1024,1024,6667,67666,3042,1562459,2288250,16
9,compute-independent,automatic,16,1048576,8,1024,1024,4959,70833,2625,1640750,2283417,16
10,compute-independent,automatic,16,1048576,8,1024,1024,4500,73958,2250,1653167,2319997,16
11,compute-independent,automatic,16,1048576,8,1024,1024,5709,67334,2875,1593708,2237584,16
12,compute-independent,automatic,16,1048576,8,1024,1024,5125,66709,2541,1589208,2130334,16
13,compute-independent,automatic,16,1048576,8,1024,1024,5583,67042,2500,1839167,2174541,16
14,compute-independent,automatic,16,1048576,8,1024,1024,4708,71250,2792,1946750,2210872,16
15,compute-independent,automatic,16,1048576,8,1024,1024,4667,69917,2458,1621958,2290002,16
16,compute-independent,automatic,16,1048576,8,1024,1024,4292,76292,2375,1543042,2184378,16
17,compute-independent,automatic,16,1048576,8,1024,1024,2125,69459,3000,1582000,2181251,16
18,compute-independent,automatic,16,1048576,8,1024,1024,5792,67083,2583,1620500,2177540,16
19,compute-independent,automatic,16,1048576,8,1024,1024,5416,67333,2667,1547250,2066209,16
20,compute-independent,automatic,16,1048576,8,1024,1024,5125,68083,2542,1536625,2072002,16
21,compute-independent,automatic,16,1048576,8,1024,1024,4709,73459,2875,1525083,2293747,16
22,compute-independent,automatic,16,1048576,8,1024,1024,4125,72250,2417,1561625,2162831,16
23,compute-independent,automatic,16,1048576,8,1024,1024,5416,68000,2291,1820667,2263167,16
24,compute-independent,automatic,16,1048576,8,1024,1024,4833,69416,2625,1622166,2276665,16
25,compute-independent,automatic,16,1048576,8,1024,1024,4542,72250,2750,1621792,2256168,16
26,compute-independent,automatic,16,1048576,8,1024,1024,4416,73083,2750,1645375,2256208,16
27,compute-independent,automatic,16,1048576,8,1024,1024,5084,67584,2500,1596709,2139710,16
28,compute-independent,automatic,16,1048576,8,1024,1024,4375,71875,2583,1576208,2191209,16
29,compute-independent,automatic,16,1048576,8,1024,1024,5000,70584,2500,1599625,2317002,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
