# collection_id,20260725T062529Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,metal
# device_name,"Apple M3"
# vendor_id,0x0000
# device_id,0x0000
# device_type,IntegratedGpu
# device_pci_bus_id,""
# driver_name,""
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,417,7750,248958,3039958,0,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,1209,14250,575708,3269167,0,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,875,8875,299167,3268208,0,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,750,9292,304334,3762625,0,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,417,8625,259708,3340792,0,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,542,8875,288458,3415333,0,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,333,7833,261958,3431417,0,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,583,8792,282042,3429333,0,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,333,8042,272209,3928625,0,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,792,9542,351042,3395709,0,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,458,8458,294708,3443000,0,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,500,9041,309792,3436334,0,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,625,8541,283000,3920041,0,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,500,8542,319834,3786666,0,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,375,8125,284708,3164041,0,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,375,8000,278708,3407458,0,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,375,7833,267333,3239292,0,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,333,8541,338000,2994833,0,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,750,9375,306500,3034667,0,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,459,9334,303959,3403584,0,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,333,8000,280791,3161459,0,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,375,8000,270750,2773834,0,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,500,8334,288750,2764750,0,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,542,8958,291291,2751458,0,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,459,8584,276334,2762292,0,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,500,8375,309042,2532375,0,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,458,8000,269667,2392916,0,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,500,8334,264209,2394834,0,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,334,13834,258583,2410542,0,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,333,7750,245458,2232625,0,16
# validation_hash,fnv1a64:de1814328067f325
