# collection_id,20260725T062529Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,metal
# device_name,"Apple M3"
# driver_name,"Metal"
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,6500,114416,3125,1809541,5813584,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,7375,107583,3083,2139875,6914959,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,5416,111416,3042,2525792,9774378,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,5416,117042,3458,2309458,8322793,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,4291,119625,2792,2002958,7009831,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,10416,105084,2959,2262667,7841961,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,4750,110916,3083,1998500,7608041,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,4833,112916,3500,1976791,7537794,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,4334,115250,2917,1997791,7514917,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,4334,105292,2708,1881916,4585251,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,4625,110750,2833,1807875,5626001,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,6125,115000,3125,1777166,6023709,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,4375,126292,3042,1784167,5755626,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,4708,113875,2875,1799125,6041294,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,4458,117000,3125,1803417,5995792,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,4167,122833,2833,1780375,5462914,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,5083,117625,3375,1802208,5561373,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,5125,106500,2625,1795042,5940209,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,4542,119333,2708,2315791,9576332,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,4875,113000,3125,2336000,9208290,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,3917,126208,2916,1984583,6916707,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,5083,110208,3041,1970167,7426124,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,5083,116000,2709,1976917,7612043,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,4292,120792,2958,1976958,7584538,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,4667,107667,2792,1971041,7495457,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,4958,106709,2750,1964208,6745833,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,4000,114834,2875,1976583,7624667,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,4458,102417,2750,1983958,7493998,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,4458,120416,3250,1992291,7464462,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,5167,107000,2791,1964167,7449997,16
# validation_hash,fnv1a64:de1814328067f325
