# collection_id,20260725T062529Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,metal
# device_name,"Apple M3"
# driver_name,"Metal"
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,4708,110416,3125,1817583,5557293,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,4833,87917,2750,1845917,5639915,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,5209,121709,3125,1539084,5556958,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,5625,87708,2667,1536000,6024958,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,5291,110208,2666,1452375,4410291,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,4458,90875,2500,1477291,4514874,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,5250,123667,2792,1976791,5637666,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,5000,117291,2542,1536459,5653458,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,5584,87125,2541,1846417,4999666,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,4291,131625,2583,1499000,5696331,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,2000,91208,2750,1574459,5728292,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,4041,93750,3500,1534792,5634207,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,2667,109542,2833,1551167,5641001,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,7084,126125,3250,1535000,5918374,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,6416,109792,2625,1476542,5563455,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,5916,88209,3042,2222541,6113333,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,4667,134417,2666,1769333,4989957,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,5916,127541,2959,1778084,6103959,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,5417,88125,2667,2029458,6223961,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,4709,92583,2541,1582333,4745751,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,5083,101666,2542,1535084,5894710,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,5000,121750,2708,1539125,5501378,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,4542,129833,2541,1531042,5783126,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,4375,106958,2708,1544125,5466874,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,4375,92583,2833,1863708,7768334,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,5000,119459,2667,1894000,5376126,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,3916,116584,2584,1801125,5726372,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,5208,89000,2750,1784500,5948835,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,4250,113459,2709,1786375,6194459,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,5083,87875,2792,1653875,4926166,16
# validation_hash,fnv1a64:161975f4e03e1a92
