# collection_id,20260725T062529Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,metal
# device_name,"Apple M3"
# driver_name,"Metal"
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,9125,72167,2792,2412250,1805042,16
1,compute-chain,automatic,16,1048576,8,1024,1024,5041,67625,2417,2047041,1678998,16
2,compute-chain,automatic,16,1048576,8,1024,1024,5959,69083,2583,2058292,1685459,16
3,compute-chain,automatic,16,1048576,8,1024,1024,5542,67417,2500,3350208,2902335,16
4,compute-chain,automatic,16,1048576,8,1024,1024,5250,69167,2583,2190667,1811499,16
5,compute-chain,automatic,16,1048576,8,1024,1024,5042,71291,2500,2065625,1688956,16
6,compute-chain,automatic,16,1048576,8,1024,1024,4875,85667,2208,2061375,1692582,16
7,compute-chain,automatic,16,1048576,8,1024,1024,4875,71916,2500,2055500,1688832,16
8,compute-chain,automatic,16,1048576,8,1024,1024,5042,70375,2500,2036709,1680460,16
9,compute-chain,automatic,16,1048576,8,1024,1024,2792,68125,2667,2053542,1679333,16
10,compute-chain,automatic,16,1048576,8,1024,1024,4708,69959,2709,3073042,2663833,16
11,compute-chain,automatic,16,1048576,8,1024,1024,4208,75458,2792,3394709,3002918,16
12,compute-chain,automatic,16,1048576,8,1024,1024,7375,68916,2875,3093500,2693544,16
13,compute-chain,automatic,16,1048576,8,1024,1024,5459,69208,2625,2043916,1678915,16
14,compute-chain,automatic,16,1048576,8,1024,1024,4625,71416,2542,2058875,1680251,16
15,compute-chain,automatic,16,1048576,8,1024,1024,5042,72041,2709,2063750,1683292,16
16,compute-chain,automatic,16,1048576,8,1024,1024,5625,68000,2458,2768166,2358792,16
17,compute-chain,automatic,16,1048576,8,1024,1024,4750,69209,2583,3417250,2997585,16
18,compute-chain,automatic,16,1048576,8,1024,1024,11166,67958,2500,3447833,3045666,16
19,compute-chain,automatic,16,1048576,8,1024,1024,6167,68666,2625,2446208,2057375,16
20,compute-chain,automatic,16,1048576,8,1024,1024,4375,76333,2542,2079875,1694623,16
21,compute-chain,automatic,16,1048576,8,1024,1024,4125,78084,2459,2036542,1688959,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1625,67375,2291,2735417,2343209,16
23,compute-chain,automatic,16,1048576,8,1024,1024,4708,76500,2500,3520667,3092791,16
24,compute-chain,automatic,16,1048576,8,1024,1024,4625,72041,2667,3413958,3001292,16
25,compute-chain,automatic,16,1048576,8,1024,1024,4417,76583,2542,2530959,2140499,16
26,compute-chain,automatic,16,1048576,8,1024,1024,4625,72333,2500,2061584,1689376,16
27,compute-chain,automatic,16,1048576,8,1024,1024,4333,75500,2791,2077083,1698170,16
28,compute-chain,automatic,16,1048576,8,1024,1024,4584,71416,2458,2916083,2504707,16
29,compute-chain,automatic,16,1048576,8,1024,1024,4292,74750,2625,3445083,3027750,16
# validation_hash,fnv1a64:1051691fc9daa325
