# collection_id,20260725T062529Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,metal
# device_name,"Apple M3"
# vendor_id,0x0000
# device_id,0x0000
# device_type,IntegratedGpu
# device_pci_bus_id,""
# driver_name,""
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,292,4500,160875,2399750,0,16
1,compute-chain,tracked,16,1048576,8,1024,1024,2417,4500,157167,2313625,0,16
2,compute-chain,tracked,16,1048576,8,1024,1024,3625,6667,166625,2214209,0,16
3,compute-chain,tracked,16,1048576,8,1024,1024,416,4709,153750,2130542,0,16
4,compute-chain,tracked,16,1048576,8,1024,1024,333,4750,153833,2131458,0,16
5,compute-chain,tracked,16,1048576,8,1024,1024,334,4500,148167,2136208,0,16
6,compute-chain,tracked,16,1048576,8,1024,1024,250,4625,146791,2134000,0,16
7,compute-chain,tracked,16,1048576,8,1024,1024,375,4375,145292,2480625,0,16
8,compute-chain,tracked,16,1048576,8,1024,1024,917,5500,186708,2621083,0,16
9,compute-chain,tracked,16,1048576,8,1024,1024,459,4625,158208,2319000,0,16
10,compute-chain,tracked,16,1048576,8,1024,1024,292,4917,154333,2317333,0,16
11,compute-chain,tracked,16,1048576,8,1024,1024,250,4500,147375,2301958,0,16
12,compute-chain,tracked,16,1048576,8,1024,1024,250,4667,149625,2305459,0,16
13,compute-chain,tracked,16,1048576,8,1024,1024,209,4625,149250,2355333,0,16
14,compute-chain,tracked,16,1048576,8,1024,1024,209,4542,148208,2624833,0,16
15,compute-chain,tracked,16,1048576,8,1024,1024,375,4667,167959,2627750,0,16
16,compute-chain,tracked,16,1048576,8,1024,1024,500,4917,183208,2612541,0,16
17,compute-chain,tracked,16,1048576,8,1024,1024,416,4667,164834,2439666,0,16
18,compute-chain,tracked,16,1048576,8,1024,1024,292,4625,153792,2299833,0,16
19,compute-chain,tracked,16,1048576,8,1024,1024,334,4584,150375,2325625,0,16
20,compute-chain,tracked,16,1048576,8,1024,1024,292,4666,151500,3173791,0,16
21,compute-chain,tracked,16,1048576,8,1024,1024,250,4583,154042,2522041,0,16
22,compute-chain,tracked,16,1048576,8,1024,1024,250,4625,148625,2603667,0,16
23,compute-chain,tracked,16,1048576,8,1024,1024,334,4500,146917,2604125,0,16
24,compute-chain,tracked,16,1048576,8,1024,1024,208,4666,147500,2623375,0,16
25,compute-chain,tracked,16,1048576,8,1024,1024,292,4541,147583,2658208,0,16
26,compute-chain,tracked,16,1048576,8,1024,1024,334,4500,147375,3224167,0,16
27,compute-chain,tracked,16,1048576,8,1024,1024,375,4500,145792,3212500,0,16
28,compute-chain,tracked,16,1048576,8,1024,1024,292,4709,146375,2830625,0,16
29,compute-chain,tracked,16,1048576,8,1024,1024,375,4417,145750,2600667,0,16
# validation_hash,fnv1a64:1051691fc9daa325
