# collection_id,20260725T062529Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,metal
# device_name,"Apple M3"
# vendor_id,0x0000
# device_id,0x0000
# device_type,IntegratedGpu
# device_pci_bus_id,""
# driver_name,""
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,334,4584,161750,2220125,0,16
1,compute-independent,tracked,16,1048576,8,1024,1024,416,4459,153875,2276167,1220250,16
2,compute-independent,tracked,16,1048576,8,1024,1024,333,4542,150709,2235834,0,16
3,compute-independent,tracked,16,1048576,8,1024,1024,334,4334,148542,2087083,991708,16
4,compute-independent,tracked,16,1048576,8,1024,1024,458,4916,164250,2346708,1060083,16
5,compute-independent,tracked,16,1048576,8,1024,1024,416,4583,153209,2008084,0,16
6,compute-independent,tracked,16,1048576,8,1024,1024,375,4375,161792,2003125,1094625,16
7,compute-independent,tracked,16,1048576,8,1024,1024,542,5333,187791,2012083,1047416,16
8,compute-independent,tracked,16,1048576,8,1024,1024,416,4542,170959,2107875,1125792,16
9,compute-independent,tracked,16,1048576,8,1024,1024,333,4458,163208,2219375,1186833,16
10,compute-independent,tracked,16,1048576,8,1024,1024,417,4500,156709,2228750,1168875,16
11,compute-independent,tracked,16,1048576,8,1024,1024,333,4500,148959,2217042,1210250,16
12,compute-independent,tracked,16,1048576,8,1024,1024,375,4500,150334,2215291,0,16
13,compute-independent,tracked,16,1048576,8,1024,1024,375,4458,155833,2233625,1125000,16
14,compute-independent,tracked,16,1048576,8,1024,1024,333,4416,150792,2215667,1171334,16
15,compute-independent,tracked,16,1048576,8,1024,1024,375,4542,151459,2601334,1238833,16
16,compute-independent,tracked,16,1048576,8,1024,1024,334,4375,162708,3135958,1701708,16
17,compute-independent,tracked,16,1048576,8,1024,1024,333,4291,151875,3061875,1999625,16
18,compute-independent,tracked,16,1048576,8,1024,1024,375,4250,151750,3054000,1955375,16
19,compute-independent,tracked,16,1048576,8,1024,1024,375,4500,153708,2644791,1580417,16
20,compute-independent,tracked,16,1048576,8,1024,1024,292,4375,149625,2540875,0,16
21,compute-independent,tracked,16,1048576,8,1024,1024,334,4417,147083,3082791,0,16
22,compute-independent,tracked,16,1048576,8,1024,1024,291,4417,146000,3031917,0,16
23,compute-independent,tracked,16,1048576,8,1024,1024,334,4417,144875,3374334,2011750,16
24,compute-independent,tracked,16,1048576,8,1024,1024,334,4375,150083,2904917,1488917,16
25,compute-independent,tracked,16,1048576,8,1024,1024,333,4375,145791,2489667,1337875,16
26,compute-independent,tracked,16,1048576,8,1024,1024,333,4375,153750,2498458,0,16
27,compute-independent,tracked,16,1048576,8,1024,1024,375,4500,150916,2499000,0,16
28,compute-independent,tracked,16,1048576,8,1024,1024,291,4375,150208,2494083,1542583,16
29,compute-independent,tracked,16,1048576,8,1024,1024,375,4375,146125,2798375,1517000,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
