# collection_id,20260725T062529Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,metal
# device_name,"Apple M3"
# vendor_id,0x0000
# device_id,0x0000
# device_type,IntegratedGpu
# device_pci_bus_id,""
# driver_name,""
# driver_info,""
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,833,9125,418583,3395209,0,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,417,8083,277208,3188791,0,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,584,8584,281542,2718916,2216459,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,375,8291,265250,2761750,0,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,375,8542,270208,2717167,2215500,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,416,7917,265041,3460042,0,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,500,8375,257667,6068208,0,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,458,8375,304583,4204666,0,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,708,8542,278334,3598209,2850125,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,333,8125,270000,5409125,0,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,416,8292,261000,3453542,2852166,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,375,7917,253709,3457500,0,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,625,8667,288459,3437459,2850125,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,416,8708,278583,6315125,0,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,333,8458,299708,5425792,4747208,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,333,8083,253375,3452584,0,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,334,7917,253750,5701209,4833458,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,334,8042,270583,5428625,0,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,417,8042,244375,3400166,0,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,333,7833,251542,4516750,0,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,333,7916,276042,6124625,0,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,334,8000,263625,4302291,0,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,375,8167,242583,3765583,0,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,375,7917,247334,6020833,0,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,417,8334,262417,5674458,4980666,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,333,7917,242667,3506041,0,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,209,8125,242500,6027083,5203500,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,334,8000,257667,4037875,0,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,542,8709,268542,3362791,2846167,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,375,8166,258125,4538916,0,16
# validation_hash,fnv1a64:161975f4e03e1a92
