repetition,index,implementation,workload,policy,file
1,0,blade,compute-independent,explicit-all,r01__blade__compute-independent__explicit-all.csv
1,1,wgpu,compute-chain,tracked,r01__wgpu__compute-chain__tracked.csv
1,2,blade,graphics-independent,hazard-only,r01__blade__graphics-independent__hazard-only.csv
1,3,blade,graphics-independent,automatic,r01__blade__graphics-independent__automatic.csv
1,4,wgpu,compute-independent,tracked,r01__wgpu__compute-independent__tracked.csv
1,5,blade,compute-chain,automatic,r01__blade__compute-chain__automatic.csv
1,6,blade,graphics-independent,explicit-all,r01__blade__graphics-independent__explicit-all.csv
1,7,blade,compute-chain,hazard-only,r01__blade__compute-chain__hazard-only.csv
1,8,blade,graphics-chain,hazard-only,r01__blade__graphics-chain__hazard-only.csv
1,9,blade,compute-independent,hazard-only,r01__blade__compute-independent__hazard-only.csv
1,10,blade,graphics-chain,explicit-all,r01__blade__graphics-chain__explicit-all.csv
1,11,wgpu,graphics-chain,tracked,r01__wgpu__graphics-chain__tracked.csv
1,12,blade,compute-chain,explicit-all,r01__blade__compute-chain__explicit-all.csv
1,13,wgpu,graphics-independent,tracked,r01__wgpu__graphics-independent__tracked.csv
1,14,blade,graphics-chain,automatic,r01__blade__graphics-chain__automatic.csv
1,15,blade,compute-independent,automatic,r01__blade__compute-independent__automatic.csv
2,0,blade,compute-independent,explicit-all,r02__blade__compute-independent__explicit-all.csv
2,1,wgpu,graphics-independent,tracked,r02__wgpu__graphics-independent__tracked.csv
2,2,blade,compute-independent,automatic,r02__blade__compute-independent__automatic.csv
2,3,wgpu,graphics-chain,tracked,r02__wgpu__graphics-chain__tracked.csv
2,4,blade,graphics-independent,explicit-all,r02__blade__graphics-independent__explicit-all.csv
2,5,blade,compute-independent,hazard-only,r02__blade__compute-independent__hazard-only.csv
2,6,wgpu,compute-independent,tracked,r02__wgpu__compute-independent__tracked.csv
2,7,blade,graphics-chain,automatic,r02__blade__graphics-chain__automatic.csv
2,8,wgpu,compute-chain,tracked,r02__wgpu__compute-chain__tracked.csv
2,9,blade,compute-chain,automatic,r02__blade__compute-chain__automatic.csv
2,10,blade,graphics-independent,automatic,r02__blade__graphics-independent__automatic.csv
2,11,blade,graphics-independent,hazard-only,r02__blade__graphics-independent__hazard-only.csv
2,12,blade,compute-chain,hazard-only,r02__blade__compute-chain__hazard-only.csv
2,13,blade,compute-chain,explicit-all,r02__blade__compute-chain__explicit-all.csv
2,14,blade,graphics-chain,explicit-all,r02__blade__graphics-chain__explicit-all.csv
2,15,blade,graphics-chain,hazard-only,r02__blade__graphics-chain__hazard-only.csv
3,0,blade,compute-chain,automatic,r03__blade__compute-chain__automatic.csv
3,1,blade,graphics-independent,hazard-only,r03__blade__graphics-independent__hazard-only.csv
3,2,wgpu,compute-independent,tracked,r03__wgpu__compute-independent__tracked.csv
3,3,wgpu,graphics-independent,tracked,r03__wgpu__graphics-independent__tracked.csv
3,4,blade,graphics-independent,automatic,r03__blade__graphics-independent__automatic.csv
3,5,blade,compute-independent,explicit-all,r03__blade__compute-independent__explicit-all.csv
3,6,blade,compute-chain,hazard-only,r03__blade__compute-chain__hazard-only.csv
3,7,wgpu,graphics-chain,tracked,r03__wgpu__graphics-chain__tracked.csv
3,8,blade,compute-chain,explicit-all,r03__blade__compute-chain__explicit-all.csv
3,9,blade,graphics-chain,hazard-only,r03__blade__graphics-chain__hazard-only.csv
3,10,blade,compute-independent,hazard-only,r03__blade__compute-independent__hazard-only.csv
3,11,blade,compute-independent,automatic,r03__blade__compute-independent__automatic.csv
3,12,blade,graphics-independent,explicit-all,r03__blade__graphics-independent__explicit-all.csv
3,13,blade,graphics-chain,explicit-all,r03__blade__graphics-chain__explicit-all.csv
3,14,wgpu,compute-chain,tracked,r03__wgpu__compute-chain__tracked.csv
3,15,blade,graphics-chain,automatic,r03__blade__graphics-chain__automatic.csv
