# collection_id,20260725T155439Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,1500,4310,4690,3892555,3842040,16
1,compute-chain,automatic,16,1048576,8,1024,1024,1440,4320,5070,3908604,3844920,16
2,compute-chain,automatic,16,1048576,8,1024,1024,1470,4170,4470,3885435,3837120,16
3,compute-chain,automatic,16,1048576,8,1024,1024,1460,4120,6250,3892275,3843040,16
4,compute-chain,automatic,16,1048576,8,1024,1024,1560,4440,4320,3889464,3841160,16
5,compute-chain,automatic,16,1048576,8,1024,1024,1460,4230,4410,3889525,3841200,16
6,compute-chain,automatic,16,1048576,8,1024,1024,1580,4420,4410,3888055,3840440,16
7,compute-chain,automatic,16,1048576,8,1024,1024,1430,4160,4260,3888314,3840080,16
8,compute-chain,automatic,16,1048576,8,1024,1024,1450,4280,4240,3890175,3842080,16
9,compute-chain,automatic,16,1048576,8,1024,1024,1450,4190,4200,3885875,3837360,16
10,compute-chain,automatic,16,1048576,8,1024,1024,1480,4170,4260,3890815,3842360,16
11,compute-chain,automatic,16,1048576,8,1024,1024,1440,4460,4360,3889034,3841280,16
12,compute-chain,automatic,16,1048576,8,1024,1024,1430,4380,4160,3907485,3859040,16
13,compute-chain,automatic,16,1048576,8,1024,1024,1440,4340,4150,3885434,3837320,16
14,compute-chain,automatic,16,1048576,8,1024,1024,1470,7160,4380,3890945,3842120,16
15,compute-chain,automatic,16,1048576,8,1024,1024,1410,4180,4360,3894885,3831320,16
16,compute-chain,automatic,16,1048576,8,1024,1024,1470,4410,4379,3970675,3932880,16
17,compute-chain,automatic,16,1048576,8,1024,1024,2800,5860,7660,3896575,3843880,16
18,compute-chain,automatic,16,1048576,8,1024,1024,1580,4370,4700,3887985,3838920,16
19,compute-chain,automatic,16,1048576,8,1024,1024,1420,4330,4470,3890734,3842600,16
20,compute-chain,automatic,16,1048576,8,1024,1024,1460,4740,4050,3912165,3868080,16
21,compute-chain,automatic,16,1048576,8,1024,1024,2230,5630,7440,3889275,3840880,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1520,4480,4560,3891524,3843240,16
23,compute-chain,automatic,16,1048576,8,1024,1024,1470,4580,4340,3888605,3840600,16
24,compute-chain,automatic,16,1048576,8,1024,1024,1450,4450,4570,3882175,3846200,16
25,compute-chain,automatic,16,1048576,8,1024,1024,1730,4480,5390,3873014,3837240,16
26,compute-chain,automatic,16,1048576,8,1024,1024,1470,4180,4510,3890255,3840600,16
27,compute-chain,automatic,16,1048576,8,1024,1024,1420,4080,4260,3892294,3843600,16
28,compute-chain,automatic,16,1048576,8,1024,1024,1480,4160,4650,3889785,3841600,16
29,compute-chain,automatic,16,1048576,8,1024,1024,1460,4400,4440,3908015,3859920,16
# validation_hash,fnv1a64:1051691fc9daa325
