# collection_id,20260725T155439Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,1490,4400,4870,3879865,3841520,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,1470,4490,4680,3895525,3854240,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,1650,4250,5540,3897024,3844360,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4460,4700,3894565,3842280,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,1500,4260,4540,3918155,3839800,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,1590,4220,4380,3894654,3842320,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,1440,4400,4530,3895915,3842760,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4390,4640,3888165,3837360,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,1750,4230,4420,3889454,3837520,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,1470,4240,4880,3897015,3845160,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,1480,4520,4610,3882795,3840400,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,1470,4260,4430,3898824,3846840,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,1480,4270,4430,3896395,3844440,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4220,4720,3895594,3843400,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4230,4730,3893895,3837640,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4420,10670,3893865,3841560,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4420,4530,3888164,3835600,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,1470,4390,4530,3890885,3839320,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4310,4710,3910425,3858400,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4530,4280,3893134,3840920,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,1510,4470,4340,3890725,3838720,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,1490,4420,4760,3892415,3840280,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,1510,4430,4360,3895185,3842920,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,1510,4260,4430,3896514,3844640,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,1600,5160,4440,3895125,3841720,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4180,4440,3892734,3840880,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4620,4550,3890715,3838640,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,1490,4310,4500,3895645,3843520,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,1490,4190,4810,3896574,3844520,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,1470,4230,4400,3891965,3840000,16
# validation_hash,fnv1a64:1051691fc9daa325
