# collection_id,20260725T155439Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all,16,1048576,8,1024,1024,1360,25020,4840,5373382,5318160,16
1,graphics-independent,explicit-all,16,1048576,8,1024,1024,1350,25330,4570,5369213,5318160,16
2,graphics-independent,explicit-all,16,1048576,8,1024,1024,1390,25400,4850,5369872,5319120,16
3,graphics-independent,explicit-all,16,1048576,8,1024,1024,1380,25460,4900,5370483,5319320,16
4,graphics-independent,explicit-all,16,1048576,8,1024,1024,1400,25450,4980,5369113,5318240,16
5,graphics-independent,explicit-all,16,1048576,8,1024,1024,1340,25240,5000,5371942,5316800,16
6,graphics-independent,explicit-all,16,1048576,8,1024,1024,1370,25110,4720,5369303,5318480,16
7,graphics-independent,explicit-all,16,1048576,8,1024,1024,1390,25580,4890,5372483,5318680,16
8,graphics-independent,explicit-all,16,1048576,8,1024,1024,1410,25279,4630,5376823,5313240,16
9,graphics-independent,explicit-all,16,1048576,8,1024,1024,10130,76370,35740,5376793,5312280,16
10,graphics-independent,explicit-all,16,1048576,8,1024,1024,1710,26270,6190,5367982,5317520,16
11,graphics-independent,explicit-all,16,1048576,8,1024,1024,1380,25540,4950,5375813,5319040,16
12,graphics-independent,explicit-all,16,1048576,8,1024,1024,1300,25160,5020,5371362,5315520,16
13,graphics-independent,explicit-all,16,1048576,8,1024,1024,1640,26230,5560,5404613,5317880,16
14,graphics-independent,explicit-all,16,1048576,8,1024,1024,1400,25400,4710,5375893,5318200,16
15,graphics-independent,explicit-all,16,1048576,8,1024,1024,1310,25399,4970,5369883,5313360,16
16,graphics-independent,explicit-all,16,1048576,8,1024,1024,2180,28460,7790,5373403,5317880,16
17,graphics-independent,explicit-all,16,1048576,8,1024,1024,1720,25220,4990,5368992,5318320,16
18,graphics-independent,explicit-all,16,1048576,8,1024,1024,1340,24900,4780,5375143,5316680,16
19,graphics-independent,explicit-all,16,1048576,8,1024,1024,4750,35780,15100,5374973,5318800,16
20,graphics-independent,explicit-all,16,1048576,8,1024,1024,1610,25550,5580,5369393,5317600,16
21,graphics-independent,explicit-all,16,1048576,8,1024,1024,3260,28930,10290,5367343,5319440,16
22,graphics-independent,explicit-all,16,1048576,8,1024,1024,1560,25460,5350,5369132,5318680,16
23,graphics-independent,explicit-all,16,1048576,8,1024,1024,1340,25420,5040,5370893,5318120,16
24,graphics-independent,explicit-all,16,1048576,8,1024,1024,10900,100490,40010,5391692,5316680,16
25,graphics-independent,explicit-all,16,1048576,8,1024,1024,2540,28340,10160,5377823,5321640,16
26,graphics-independent,explicit-all,16,1048576,8,1024,1024,1380,25400,5310,5360743,5317080,16
27,graphics-independent,explicit-all,16,1048576,8,1024,1024,1820,26219,6330,5367613,5316040,16
28,graphics-independent,explicit-all,16,1048576,8,1024,1024,1480,25460,4870,5358813,5315200,16
29,graphics-independent,explicit-all,16,1048576,8,1024,1024,1900,27000,7170,5353502,5315680,16
# validation_hash,fnv1a64:161975f4e03e1a92
