# collection_id,20260725T155439Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23740,4790,5305113,5254840,16
1,graphics-independent,hazard-only,16,1048576,8,1024,1024,1460,23470,4760,5307182,5257320,16
2,graphics-independent,hazard-only,16,1048576,8,1024,1024,1480,23590,4800,5307153,5257160,16
3,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23960,4940,5306863,5256760,16
4,graphics-independent,hazard-only,16,1048576,8,1024,1024,1430,23400,4680,5306302,5256280,16
5,graphics-independent,hazard-only,16,1048576,8,1024,1024,1460,24030,4780,5308123,5257120,16
6,graphics-independent,hazard-only,16,1048576,8,1024,1024,1670,23920,4810,5302303,5252440,16
7,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23540,4810,5306942,5256880,16
8,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23760,4680,5307233,5256600,16
9,graphics-independent,hazard-only,16,1048576,8,1024,1024,1460,23930,4820,5307803,5257600,16
10,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23790,4700,5307553,5257000,16
11,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23690,4880,5307252,5257080,16
12,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23690,4630,5307253,5257440,16
13,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23740,4640,5305293,5255400,16
14,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,24140,4670,5307642,5257160,16
15,graphics-independent,hazard-only,16,1048576,8,1024,1024,1640,23550,4660,5307093,5257040,16
16,graphics-independent,hazard-only,16,1048576,8,1024,1024,1430,23400,4540,5306403,5256120,16
17,graphics-independent,hazard-only,16,1048576,8,1024,1024,1490,23650,4530,5308432,5257920,16
18,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23790,4790,5307133,5256920,16
19,graphics-independent,hazard-only,16,1048576,8,1024,1024,1470,23700,4770,5306673,5256720,16
20,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23930,4650,5307543,5257160,16
21,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23620,5100,5305382,5255600,16
22,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23750,5000,5306863,5256600,16
23,graphics-independent,hazard-only,16,1048576,8,1024,1024,1450,23790,4740,5333093,5254160,16
24,graphics-independent,hazard-only,16,1048576,8,1024,1024,2370,25530,8230,5299472,5252880,16
25,graphics-independent,hazard-only,16,1048576,8,1024,1024,1770,24640,6080,5300373,5252520,16
26,graphics-independent,hazard-only,16,1048576,8,1024,1024,1580,24070,5320,5300643,5251240,16
27,graphics-independent,hazard-only,16,1048576,8,1024,1024,1550,24050,5440,5305252,5255880,16
28,graphics-independent,hazard-only,16,1048576,8,1024,1024,1510,23610,5320,5304433,5256080,16
29,graphics-independent,hazard-only,16,1048576,8,1024,1024,1460,23860,5000,5304983,5253800,16
# validation_hash,fnv1a64:161975f4e03e1a92
