# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,1500,4500,4660,3885065,3837000,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4490,4580,3895654,3843320,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,1920,4750,5590,3887605,3837440,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,1650,4780,5560,3888465,3839800,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,1460,4630,4220,3884735,3836520,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,1510,4750,5720,3884994,3836000,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,1440,4430,4180,3892185,3844400,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4400,4100,3900995,3856840,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,1490,4320,4250,3886894,3838800,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4400,4230,3890965,3842800,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,1480,4480,4050,3890385,3842200,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,1410,4790,4250,3890354,3842400,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4430,3980,3885015,3836320,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4630,3980,3890194,3841600,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,1440,4520,4020,3886205,3837480,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,1640,4560,4310,3885125,3837160,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,1530,4460,4030,3889864,3841640,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,1500,4360,4210,3887435,3839280,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4450,4680,3889565,3838720,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4490,4320,3885284,3836840,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4530,4320,3885345,3837120,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,1670,4610,5410,3887175,3837280,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4660,4570,3886515,3838440,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,1400,4590,4300,3889664,3841320,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,1470,4900,5520,3889035,3839920,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4380,4210,3888195,3839480,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,1410,4640,4360,3888944,3841480,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4730,4340,3887735,3839920,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4360,4200,3897205,3844000,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,1560,4400,4480,3887864,3840000,16
# validation_hash,fnv1a64:1051691fc9daa325
