# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,1490,4170,4120,3912825,3864120,16
1,compute-independent,automatic,16,1048576,8,1024,1024,1460,4410,4510,3909975,3860960,16
2,compute-independent,automatic,16,1048576,8,1024,1024,1480,4020,5830,3912355,3863280,16
3,compute-independent,automatic,16,1048576,8,1024,1024,1460,4260,4109,3914555,3866840,16
4,compute-independent,automatic,16,1048576,8,1024,1024,1470,4260,4080,3907255,3859600,16
5,compute-independent,automatic,16,1048576,8,1024,1024,1490,4360,5740,3931624,3882960,16
6,compute-independent,automatic,16,1048576,8,1024,1024,1500,4200,9870,3912535,3862000,16
7,compute-independent,automatic,16,1048576,8,1024,1024,1560,4230,5850,3910214,3861600,16
8,compute-independent,automatic,16,1048576,8,1024,1024,1510,4040,4090,3906575,3858760,16
9,compute-independent,automatic,16,1048576,8,1024,1024,1460,4380,5810,3995525,3936880,16
10,compute-independent,automatic,16,1048576,8,1024,1024,2710,6800,7840,3930674,3881560,16
11,compute-independent,automatic,16,1048576,8,1024,1024,1370,4170,4800,3911595,3862320,16
12,compute-independent,automatic,16,1048576,8,1024,1024,1320,4010,4820,3928704,3865400,16
13,compute-independent,automatic,16,1048576,8,1024,1024,1440,4440,5550,3932035,3892120,16
14,compute-independent,automatic,16,1048576,8,1024,1024,2030,5550,6270,3913615,3865320,16
15,compute-independent,automatic,16,1048576,8,1024,1024,1450,4440,5950,3919715,3870360,16
16,compute-independent,automatic,16,1048576,8,1024,1024,1510,4360,5520,3915765,3861640,16
17,compute-independent,automatic,16,1048576,8,1024,1024,1540,4340,5390,3923455,3874120,16
18,compute-independent,automatic,16,1048576,8,1024,1024,2060,5100,6570,3908204,3860400,16
19,compute-independent,automatic,16,1048576,8,1024,1024,1630,4370,4250,3910665,3863120,16
20,compute-independent,automatic,16,1048576,8,1024,1024,1490,4400,5340,3911805,3863160,16
21,compute-independent,automatic,16,1048576,8,1024,1024,1460,4190,5930,3921274,3866560,16
22,compute-independent,automatic,16,1048576,8,1024,1024,1450,4570,5310,3926065,3877200,16
23,compute-independent,automatic,16,1048576,8,1024,1024,1720,4430,4510,3909064,3859280,16
24,compute-independent,automatic,16,1048576,8,1024,1024,1470,4280,5730,3917505,3864720,16
25,compute-independent,automatic,16,1048576,8,1024,1024,1530,4360,5570,3912244,3857760,16
26,compute-independent,automatic,16,1048576,8,1024,1024,1470,4360,5660,3914495,3860200,16
27,compute-independent,automatic,16,1048576,8,1024,1024,1450,4210,5590,3909465,3861080,16
28,compute-independent,automatic,16,1048576,8,1024,1024,1510,4340,5480,3909825,3860680,16
29,compute-independent,automatic,16,1048576,8,1024,1024,1590,4310,5680,3916994,3862840,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
