# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,1430,12280,5210,4460083,4424800,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,1520,12930,5100,4462994,4423080,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,1390,12660,4730,4456134,4420920,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12930,4940,4460634,4425280,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,1420,12210,4780,4459824,4424600,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,1530,13320,4870,4467244,4425960,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,1630,12440,5060,4458954,4424160,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,1550,13130,5020,4468034,4426200,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,1390,12409,4780,4456534,4421760,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,1520,12960,5050,4457844,4424160,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12340,5160,4460174,4424920,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12790,5300,4463244,4421680,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,1430,12370,5050,4455464,4421440,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,1560,12870,5290,4458064,4423040,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,1410,12310,4780,4459114,4425600,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,1520,13030,5130,4461854,4420720,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,1380,12590,4590,4459754,4425360,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,1550,12750,4810,4464834,4422720,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,1580,12360,5360,4495343,4424680,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,1570,12970,4920,4466874,4424600,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,1450,12870,4900,4458364,4423560,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12680,5320,4456494,4426000,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,1370,12690,5010,4460304,4425720,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,1570,12740,4620,4466394,4424160,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,1360,12220,4740,4466793,4424560,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12920,4820,4462204,4426200,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,1380,12680,4940,4460624,4424600,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,1520,13160,4940,4461724,4425600,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,1430,12410,4890,4466784,4424520,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,1530,12770,5150,4461484,4425440,16
# validation_hash,fnv1a64:de1814328067f325
