# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12520,5050,4473094,4425560,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,1460,13140,5010,4482554,4425560,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,1520,12750,4840,4475624,4425680,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,1600,13080,4740,4475934,4425440,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12710,4920,4492104,4424360,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,8230,38150,26840,4499153,4424600,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,4300,27300,15960,4491204,4424640,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,4240,27700,15330,4492754,4424360,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,4470,27690,15820,4481324,4426080,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,5210,23450,16800,4475454,4425560,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,1590,13810,6020,4475294,4425240,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,1510,13270,5090,4462083,4419320,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,2150,14130,7580,4460844,4421600,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,2540,15490,8660,4463744,4424920,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12800,4830,4464124,4425320,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,1460,13330,4950,4457064,4418760,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,2270,14450,8000,4463524,4424640,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,1430,12790,4780,4464913,4425920,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,1400,12460,4820,4475694,4425360,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,1410,13110,4750,4458764,4421160,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,2090,14510,7730,4475624,4425080,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,1490,13180,5270,4476824,4426600,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,1340,12510,4690,4483844,4426320,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,10030,47450,33250,4489694,4425520,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,3670,19940,12370,4470613,4424560,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,2930,18070,10350,4461564,4425040,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,2470,15980,8850,4460534,4424200,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,1630,13400,5690,4460674,4424480,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,1380,12860,4860,4461904,4425640,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,1450,13040,5030,4460244,4423960,16
# validation_hash,fnv1a64:de1814328067f325
