# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,2440,19070,7940,4475344,4423440,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,1410,13090,5910,4488214,4425560,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,1450,12410,4840,4474674,4425280,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,1460,12920,4710,4475093,4425680,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,1430,12430,4920,4473924,4424480,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,1460,12780,4890,4475034,4425680,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,1440,12370,4700,4464144,4423000,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,1550,14020,5420,4477164,4419240,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,2280,15470,7350,4478364,4425760,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,1480,12790,4820,4472614,4424520,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,1310,12510,4750,4455913,4420800,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,2180,14430,10870,4473684,4423640,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,1330,12450,4990,4472494,4423960,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,1570,12920,5050,4471684,4423920,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,1420,12590,4610,4492864,4424360,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,11230,60420,43190,4474984,4420480,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,2580,15130,9400,4475064,4425160,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,1810,13410,5270,4474854,4424720,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,2720,16290,9810,4468934,4419880,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,2900,16680,11040,4474504,4424200,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,1620,12990,5350,4474944,4425360,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,1540,12920,5520,4477174,4423960,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,4420,20790,14500,4474223,4422120,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,2960,21120,11090,4471374,4420400,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,2380,13600,6510,4472454,4424600,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,1530,16360,5330,4471464,4421600,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,2170,14770,9380,4471044,4423800,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,1410,13350,8470,4473834,4424640,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,1510,12400,5550,4471993,4423560,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,1560,12780,5680,4469604,4419320,16
# validation_hash,fnv1a64:de1814328067f325
