# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,1370,25190,4950,5371153,5315960,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,1880,27730,7880,5376053,5318320,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,1580,25230,5010,5370802,5319400,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,1460,25850,5700,5368413,5318480,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,1370,25700,4790,5368133,5317080,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,1350,25270,5200,5355702,5314040,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,2710,27320,7160,5355013,5314400,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,1380,25410,5000,5366932,5317680,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,1370,25500,4970,5366153,5315440,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,1310,25430,5030,5355353,5312760,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,2150,26350,5970,5367422,5317840,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,1410,25170,4870,5384103,5318720,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,1340,25170,5050,5367183,5315960,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,2020,27090,6680,5364642,5317160,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,1420,25680,4840,5369713,5318320,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,1330,25640,5090,5367662,5313640,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,1600,25950,5490,5367863,5317680,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,1270,25490,4990,5372113,5319400,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,1400,25260,4890,5369852,5318200,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,1370,25430,4850,5368033,5316040,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,2260,27640,7790,5369043,5319120,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,1520,25710,5740,5366272,5318840,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,11200,88310,38120,5372752,5315360,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,2330,44710,15890,5368293,5316240,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,2330,26070,5580,5369043,5316280,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,10550,99990,50910,5355252,5316240,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,2990,29400,10750,5375773,5316840,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,1520,25900,6100,5366782,5319160,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,1390,25550,5350,5366903,5317480,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,1460,25710,5980,5368723,5319160,16
# validation_hash,fnv1a64:161975f4e03e1a92
