# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,170,3770,51450,230340,176200,16
1,compute-independent,tracked,16,1048576,8,1024,1024,190,4290,63970,227050,176200,16
2,compute-independent,tracked,16,1048576,8,1024,1024,220,4670,57159,229730,176240,16
3,compute-independent,tracked,16,1048576,8,1024,1024,180,4450,54980,230200,176280,16
4,compute-independent,tracked,16,1048576,8,1024,1024,180,4480,54990,230059,175840,16
5,compute-independent,tracked,16,1048576,8,1024,1024,180,4420,55560,230280,176160,16
6,compute-independent,tracked,16,1048576,8,1024,1024,190,4540,55350,230389,176280,16
7,compute-independent,tracked,16,1048576,8,1024,1024,180,4420,54420,230370,176360,16
8,compute-independent,tracked,16,1048576,8,1024,1024,180,4600,56850,230020,176160,16
9,compute-independent,tracked,16,1048576,8,1024,1024,180,4650,53819,220340,167560,16
10,compute-independent,tracked,16,1048576,8,1024,1024,190,4840,54700,220660,167640,16
11,compute-independent,tracked,16,1048576,8,1024,1024,190,4640,55800,220169,167440,16
12,compute-independent,tracked,16,1048576,8,1024,1024,180,4590,55200,220330,167200,16
13,compute-independent,tracked,16,1048576,8,1024,1024,180,4570,54080,293729,158400,16
14,compute-independent,tracked,16,1048576,8,1024,1024,180,4820,53550,207640,158440,16
15,compute-independent,tracked,16,1048576,8,1024,1024,190,4460,55820,210390,158520,16
16,compute-independent,tracked,16,1048576,8,1024,1024,180,4490,55810,211319,158160,16
17,compute-independent,tracked,16,1048576,8,1024,1024,190,4520,56400,209040,156920,16
18,compute-independent,tracked,16,1048576,8,1024,1024,180,4600,55870,204380,152440,16
19,compute-independent,tracked,16,1048576,8,1024,1024,180,4640,56169,203810,152480,16
20,compute-independent,tracked,16,1048576,8,1024,1024,180,4490,55690,203730,152280,16
21,compute-independent,tracked,16,1048576,8,1024,1024,190,4730,54560,203420,152360,16
22,compute-independent,tracked,16,1048576,8,1024,1024,180,4720,54190,270929,143040,16
23,compute-independent,tracked,16,1048576,8,1024,1024,190,4690,56230,193870,143280,16
24,compute-independent,tracked,16,1048576,8,1024,1024,190,4530,56410,193130,143080,16
25,compute-independent,tracked,16,1048576,8,1024,1024,180,4460,56059,193650,143240,16
26,compute-independent,tracked,16,1048576,8,1024,1024,180,4500,55820,191170,141000,16
27,compute-independent,tracked,16,1048576,8,1024,1024,180,4570,55950,191389,141320,16
28,compute-independent,tracked,16,1048576,8,1024,1024,190,4480,56320,191360,141320,16
29,compute-independent,tracked,16,1048576,8,1024,1024,180,4520,54910,185790,141400,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
