# collection_id,20260725T155439Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,170,6480,80820,446899,397520,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,180,6410,82260,447289,398080,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,170,6280,81560,465310,366920,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,170,6360,82049,414280,366880,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,190,6280,81320,401979,354920,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,180,6300,82530,401980,354600,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,190,6310,82500,393379,346920,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,190,6380,82450,380309,334440,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,170,6460,81750,380010,334440,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,170,6290,81959,373810,329760,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,190,6510,81740,373709,328320,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,180,6330,81880,364850,320040,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,170,6320,81689,359870,315240,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,180,6340,81970,360069,315120,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,170,6360,81550,401330,311160,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,170,6360,81869,355790,311480,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,180,6350,81130,355430,311480,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,170,6430,139920,357559,297720,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,1250,19140,241960,341019,297920,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,260,7300,96210,353429,298240,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,250,7020,93410,352850,297880,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,260,7050,97480,342479,297480,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,180,6470,84220,338539,293920,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,180,6400,83040,338830,293840,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,170,6300,82180,338849,294000,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,170,6490,81680,336410,289680,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,260,6670,86550,333869,289720,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,190,6390,82300,367890,288800,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,170,6310,82490,333849,289160,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,170,6380,81740,329310,284600,16
# validation_hash,fnv1a64:161975f4e03e1a92
