# collection_id,20260725T155439Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2820,4930,3874205,3826880,16
1,compute-independent,hazard-only,16,1048576,8,1024,1024,1480,2970,4820,3874554,3827680,16
2,compute-independent,hazard-only,16,1048576,8,1024,1024,1460,3260,5150,3875875,3829120,16
3,compute-independent,hazard-only,16,1048576,8,1024,1024,1510,2810,4920,3877875,3831200,16
4,compute-independent,hazard-only,16,1048576,8,1024,1024,1520,2780,4980,3878814,3831760,16
5,compute-independent,hazard-only,16,1048576,8,1024,1024,1520,2850,4790,3876235,3829080,16
6,compute-independent,hazard-only,16,1048576,8,1024,1024,1650,2960,4800,3870675,3823680,16
7,compute-independent,hazard-only,16,1048576,8,1024,1024,1550,3100,4910,3879235,3832600,16
8,compute-independent,hazard-only,16,1048576,8,1024,1024,1500,2810,4810,3882294,3834720,16
9,compute-independent,hazard-only,16,1048576,8,1024,1024,1530,2950,4860,3874615,3827920,16
10,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2860,11410,3876835,3829880,16
11,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2740,4880,3874944,3827760,16
12,compute-independent,hazard-only,16,1048576,8,1024,1024,1510,2800,4860,3879055,3832200,16
13,compute-independent,hazard-only,16,1048576,8,1024,1024,1970,4160,5460,3876535,3829560,16
14,compute-independent,hazard-only,16,1048576,8,1024,1024,1480,2700,4720,3870404,3823400,16
15,compute-independent,hazard-only,16,1048576,8,1024,1024,1460,2910,5410,3878205,3830800,16
16,compute-independent,hazard-only,16,1048576,8,1024,1024,1530,2890,4740,3869585,3822320,16
17,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,3110,4870,3874014,3826960,16
18,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,3000,4710,3876015,3829120,16
19,compute-independent,hazard-only,16,1048576,8,1024,1024,1430,2790,5170,3869865,3822800,16
20,compute-independent,hazard-only,16,1048576,8,1024,1024,1470,2930,4910,3882064,3834240,16
21,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2890,5440,3888785,3841760,16
22,compute-independent,hazard-only,16,1048576,8,1024,1024,1470,2830,4850,3873075,3826400,16
23,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2850,4889,3895355,3829440,16
24,compute-independent,hazard-only,16,1048576,8,1024,1024,1510,2960,5440,3875265,3827400,16
25,compute-independent,hazard-only,16,1048576,8,1024,1024,1490,2830,4890,3877305,3830200,16
26,compute-independent,hazard-only,16,1048576,8,1024,1024,1440,2850,4880,3872204,3825200,16
27,compute-independent,hazard-only,16,1048576,8,1024,1024,1470,2720,4910,3874765,3827480,16
28,compute-independent,hazard-only,16,1048576,8,1024,1024,1480,2710,4890,3876615,3829640,16
29,compute-independent,hazard-only,16,1048576,8,1024,1024,1480,2740,4800,3874374,3827600,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
