# collection_id,20260725T155439Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,170,3950,51180,291579,244040,16
1,compute-chain,tracked,16,1048576,8,1024,1024,180,3930,51470,292310,244440,16
2,compute-chain,tracked,16,1048576,8,1024,1024,150,4030,50750,292269,244440,16
3,compute-chain,tracked,16,1048576,8,1024,1024,170,4010,51740,290040,242360,16
4,compute-chain,tracked,16,1048576,8,1024,1024,160,3950,51400,281149,234280,16
5,compute-chain,tracked,16,1048576,8,1024,1024,180,3960,51860,282150,234560,16
6,compute-chain,tracked,16,1048576,8,1024,1024,180,3980,51950,281709,234400,16
7,compute-chain,tracked,16,1048576,8,1024,1024,170,3920,51280,271800,226880,16
8,compute-chain,tracked,16,1048576,8,1024,1024,160,3940,51500,268249,221920,16
9,compute-chain,tracked,16,1048576,8,1024,1024,160,3960,52070,268500,222160,16
10,compute-chain,tracked,16,1048576,8,1024,1024,170,3980,51360,267740,221720,16
11,compute-chain,tracked,16,1048576,8,1024,1024,160,3930,51590,315509,207560,16
12,compute-chain,tracked,16,1048576,8,1024,1024,170,3890,51820,252240,207480,16
13,compute-chain,tracked,16,1048576,8,1024,1024,160,3940,51810,252069,207280,16
14,compute-chain,tracked,16,1048576,8,1024,1024,170,4000,51150,252030,207080,16
15,compute-chain,tracked,16,1048576,8,1024,1024,160,3920,51510,244240,202360,16
16,compute-chain,tracked,16,1048576,8,1024,1024,170,3980,51730,246699,202080,16
17,compute-chain,tracked,16,1048576,8,1024,1024,170,3930,51380,246890,202480,16
18,compute-chain,tracked,16,1048576,8,1024,1024,180,3900,51380,246659,202280,16
19,compute-chain,tracked,16,1048576,8,1024,1024,160,3900,51780,285210,190880,16
20,compute-chain,tracked,16,1048576,8,1024,1024,160,3940,51190,236579,190960,16
21,compute-chain,tracked,16,1048576,8,1024,1024,180,3890,54850,236970,190880,16
22,compute-chain,tracked,16,1048576,8,1024,1024,160,3950,51640,235989,190920,16
23,compute-chain,tracked,16,1048576,8,1024,1024,160,3990,56900,241110,129920,16
24,compute-chain,tracked,16,1048576,8,1024,1024,160,3970,51590,161810,130000,16
25,compute-chain,tracked,16,1048576,8,1024,1024,190,3910,51420,162400,130040,16
26,compute-chain,tracked,16,1048576,8,1024,1024,160,3910,51209,162630,129880,16
27,compute-chain,tracked,16,1048576,8,1024,1024,160,3920,51230,162330,130000,16
28,compute-chain,tracked,16,1048576,8,1024,1024,160,3890,51750,161930,129760,16
29,compute-chain,tracked,16,1048576,8,1024,1024,170,3920,55310,160410,128320,16
# validation_hash,fnv1a64:1051691fc9daa325
