# collection_id,20260725T155439Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,170,6060,73060,445500,395760,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,180,6120,73130,446249,396400,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,170,6020,72990,424809,380920,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,180,6040,72890,430190,381120,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,190,6060,73009,404110,355880,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,180,6110,72850,403129,355000,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,180,6130,73610,389639,342320,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,190,6010,73110,375730,329120,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,180,6150,72710,375339,328760,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,170,6150,72540,439599,319120,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,190,6130,72900,366110,320120,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,190,6090,72770,365669,319760,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,180,6160,72690,344920,300160,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,180,6050,72890,344789,300120,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,180,6090,72680,397480,294320,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,180,6050,72909,340090,295400,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,190,6100,73210,338949,294720,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,180,6080,73170,321920,278200,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,190,6040,72680,322509,278600,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,170,9260,73480,323280,279320,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,200,6090,72729,343440,274720,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,190,6090,73170,318739,274800,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,210,6100,73120,315080,272120,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,170,6220,73410,310509,268000,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,190,6100,73130,319080,268360,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,190,6070,72230,312179,266520,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,200,6120,73460,293650,256240,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,200,6090,73030,292869,256760,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,170,6170,72730,293590,257400,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,160,5940,73280,298639,256160,16
# validation_hash,fnv1a64:de1814328067f325
