# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,97715,106184,203323,7189046,6458326,16
1,compute-independent,automatic,16,1048576,8,1024,1024,99768,109913,142851,6675008,6113690,16
2,compute-independent,automatic,16,1048576,8,1024,1024,165514,115039,139570,6744310,6030670,16
3,compute-independent,automatic,16,1048576,8,1024,1024,160338,96459,174704,7407780,6775200,16
4,compute-independent,automatic,16,1048576,8,1024,1024,100803,110274,144065,6863316,6252284,16
5,compute-independent,automatic,16,1048576,8,1024,1024,104115,115335,244671,7234827,6649005,16
6,compute-independent,automatic,16,1048576,8,1024,1024,101103,111029,143924,7291753,6656973,16
7,compute-independent,automatic,16,1048576,8,1024,1024,167434,107630,141201,7195960,6619941,16
8,compute-independent,automatic,16,1048576,8,1024,1024,171237,123465,137493,6735154,6063066,16
9,compute-independent,automatic,16,1048576,8,1024,1024,98938,110477,248766,6783986,6181659,16
10,compute-independent,automatic,16,1048576,8,1024,1024,116807,147842,191025,9313340,8766400,16
11,compute-independent,automatic,16,1048576,8,1024,1024,167737,110165,143245,8838556,8250564,16
12,compute-independent,automatic,16,1048576,8,1024,1024,116719,123034,164322,7155990,6615828,16
13,compute-independent,automatic,16,1048576,8,1024,1024,173141,139863,156888,6837783,6421557,16
14,compute-independent,automatic,16,1048576,8,1024,1024,114401,142174,162083,6708686,6327649,16
15,compute-independent,automatic,16,1048576,8,1024,1024,99199,135853,218515,7012431,6469262,16
16,compute-independent,automatic,16,1048576,8,1024,1024,150901,141728,158404,6516548,6002129,16
17,compute-independent,automatic,16,1048576,8,1024,1024,119964,138802,189240,5533714,5134212,16
18,compute-independent,automatic,16,1048576,8,1024,1024,99600,160546,161663,3715608,3398378,16
19,compute-independent,automatic,16,1048576,8,1024,1024,98098,190842,259896,3731570,3475617,16
20,compute-independent,automatic,16,1048576,8,1024,1024,75165,154375,128024,3592942,3233481,16
21,compute-independent,automatic,16,1048576,8,1024,1024,73498,131663,121064,3461260,3230306,16
22,compute-independent,automatic,16,1048576,8,1024,1024,73663,99145,118607,3618019,3274784,16
23,compute-independent,automatic,16,1048576,8,1024,1024,73953,99117,118730,3562445,3300512,16
24,compute-independent,automatic,16,1048576,8,1024,1024,76043,100880,122608,3643197,3364419,16
25,compute-independent,automatic,16,1048576,8,1024,1024,69613,86823,104394,3557259,3216867,16
26,compute-independent,automatic,16,1048576,8,1024,1024,66175,86265,116247,3509056,3213117,16
27,compute-independent,automatic,16,1048576,8,1024,1024,174047,82876,103033,3608260,3305252,16
28,compute-independent,automatic,16,1048576,8,1024,1024,58775,96409,91364,3610171,3272597,16
29,compute-independent,automatic,16,1048576,8,1024,1024,79635,79998,100610,3606805,3239106,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
