# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all,16,1048576,8,1024,1024,54937,69203,81040,3480243,3191920,16
1,compute-independent,explicit-all,16,1048576,8,1024,1024,55070,69699,82839,3550420,3241242,16
2,compute-independent,explicit-all,16,1048576,8,1024,1024,56784,69453,81230,3388031,3097025,16
3,compute-independent,explicit-all,16,1048576,8,1024,1024,52731,70935,81953,3405085,3122494,16
4,compute-independent,explicit-all,16,1048576,8,1024,1024,62685,68893,81439,3441998,3170255,16
5,compute-independent,explicit-all,16,1048576,8,1024,1024,75495,83496,81550,3463309,3158587,16
6,compute-independent,explicit-all,16,1048576,8,1024,1024,54979,69502,80909,3641310,3335983,16
7,compute-independent,explicit-all,16,1048576,8,1024,1024,53854,69855,84730,3547559,3364054,16
8,compute-independent,explicit-all,16,1048576,8,1024,1024,61641,77733,81268,3496636,3265880,16
9,compute-independent,explicit-all,16,1048576,8,1024,1024,65044,134562,98130,3547849,3332180,16
10,compute-independent,explicit-all,16,1048576,8,1024,1024,137889,87241,108473,3589926,3207492,16
11,compute-independent,explicit-all,16,1048576,8,1024,1024,79375,80962,113014,3492005,3083221,16
12,compute-independent,explicit-all,16,1048576,8,1024,1024,77660,78356,167600,3455363,3125147,16
13,compute-independent,explicit-all,16,1048576,8,1024,1024,82711,83351,121233,3635801,3239315,16
14,compute-independent,explicit-all,16,1048576,8,1024,1024,78460,78862,111236,3643904,3246504,16
15,compute-independent,explicit-all,16,1048576,8,1024,1024,80379,79984,111498,3728398,3370775,16
16,compute-independent,explicit-all,16,1048576,8,1024,1024,77750,89147,110921,3503112,3271762,16
17,compute-independent,explicit-all,16,1048576,8,1024,1024,73248,79111,104044,3537866,3105098,16
18,compute-independent,explicit-all,16,1048576,8,1024,1024,81248,81901,140265,3479089,3081398,16
19,compute-independent,explicit-all,16,1048576,8,1024,1024,126260,77144,104725,3577301,3257599,16
20,compute-independent,explicit-all,16,1048576,8,1024,1024,76602,117799,120938,3476022,3108845,16
21,compute-independent,explicit-all,16,1048576,8,1024,1024,78858,81271,114205,3447493,3087648,16
22,compute-independent,explicit-all,16,1048576,8,1024,1024,80601,101224,109259,3503044,3077650,16
23,compute-independent,explicit-all,16,1048576,8,1024,1024,92665,89241,119246,3581319,3203116,16
24,compute-independent,explicit-all,16,1048576,8,1024,1024,87362,87818,133024,3526451,3109002,16
25,compute-independent,explicit-all,16,1048576,8,1024,1024,106577,90023,119118,3469209,3084367,16
26,compute-independent,explicit-all,16,1048576,8,1024,1024,82224,179641,130595,3664772,3291712,16
27,compute-independent,explicit-all,16,1048576,8,1024,1024,121309,89723,132122,3487218,3049004,16
28,compute-independent,explicit-all,16,1048576,8,1024,1024,87540,157703,128026,3491141,3075514,16
29,compute-independent,explicit-all,16,1048576,8,1024,1024,85590,101305,169718,3528076,3131086,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
