# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,78815,184150,59268,2859266,2320981,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,63218,167403,60483,2861068,2320773,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,63813,167105,61009,2837554,2320983,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,64188,191415,59583,2755571,2320565,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,63430,260922,58372,2893920,2321086,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,63800,238726,87347,2838110,2328534,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,62762,168961,57510,3013841,2508430,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,65726,195449,62051,2949606,2384836,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,63685,168692,121020,2833163,2321243,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,58874,160910,111239,2985911,2382128,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,73224,173779,72073,2915723,2319888,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,54956,226860,56249,2962366,2386867,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,57378,152588,117630,2931448,2382491,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,56636,157509,53325,3031082,2509368,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,54920,177697,118480,2809693,2321242,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,85184,151821,53512,3089495,2510982,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,72280,167284,133314,2927170,2382753,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,60063,153153,138918,2959947,2385305,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,55161,147814,113709,2794443,2320723,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,56654,150281,59905,2924414,2390930,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,57714,151917,52387,2883681,2384367,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,42548,185508,57871,2777488,2320773,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,42360,211687,41810,2840571,2383221,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,42355,215987,42092,2779892,2320252,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,53419,152541,112946,2773151,2320044,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,44143,185139,42272,2800641,2321450,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,56135,213207,58673,2751338,2319992,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,58606,154585,55896,2687412,2319680,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,42595,135576,42648,2870665,2384888,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,43476,136208,43980,2876068,2381555,16
# validation_hash,fnv1a64:de1814328067f325
