# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,161728,471508,191394,6059359,5340461,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,178906,534072,114531,6199048,5404472,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,174421,480540,119361,6124281,5394316,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,183380,521933,137393,6691635,5858118,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,237806,501160,207881,6203884,5334210,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,188741,452896,195109,6586103,5602700,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,183973,540370,126180,6564591,5745253,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,250354,445505,149114,6409572,5468639,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,168200,455033,191658,6650776,5790461,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,252652,440203,122425,8308133,7407440,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,185543,438023,124764,6967757,6125670,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,316871,518317,161465,6735502,5810358,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,140283,438117,99264,6074113,5444939,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,140485,431674,103117,6201377,5497129,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,218458,473745,170695,6351473,5581294,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,213157,510497,97876,6523496,5741555,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,251412,450953,98765,6609858,5886088,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,140297,485732,166852,6141091,5410567,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,208637,445963,172677,6454256,5749210,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,133385,487030,99256,6582114,5807233,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,212677,395524,97306,6425104,5803482,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,147293,395025,113455,6331145,5630097,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,141893,404345,96501,6267243,5650774,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,164821,450818,98750,6361933,5630721,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,142109,458482,100995,6371232,5686192,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,141982,418916,129005,6415838,5682805,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,140662,552659,97815,6063179,5441553,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,228228,457766,123267,6496213,5738792,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,137887,426257,106817,6431542,5604420,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,153827,454640,98151,6287294,5547493,16
# validation_hash,fnv1a64:161975f4e03e1a92
