# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all,16,1048576,8,1024,1024,146611,392657,117742,6557022,5858952,16
1,graphics-independent,explicit-all,16,1048576,8,1024,1024,150035,526883,123452,6303890,5510720,16
2,graphics-independent,explicit-all,16,1048576,8,1024,1024,160657,534349,131542,6203590,5348744,16
3,graphics-independent,explicit-all,16,1048576,8,1024,1024,153498,461941,122220,6525780,5733065,16
4,graphics-independent,explicit-all,16,1048576,8,1024,1024,248530,433453,127694,6310067,5538742,16
5,graphics-independent,explicit-all,16,1048576,8,1024,1024,224280,431767,126123,6649324,5920148,16
6,graphics-independent,explicit-all,16,1048576,8,1024,1024,152916,475653,113529,6318522,5546399,16
7,graphics-independent,explicit-all,16,1048576,8,1024,1024,153730,553682,119895,6197345,5431607,16
8,graphics-independent,explicit-all,16,1048576,8,1024,1024,148417,499286,117243,6385201,5673846,16
9,graphics-independent,explicit-all,16,1048576,8,1024,1024,193762,437057,122858,7506772,6732543,16
10,graphics-independent,explicit-all,16,1048576,8,1024,1024,152912,435430,125083,6256108,5550619,16
11,graphics-independent,explicit-all,16,1048576,8,1024,1024,148703,488269,154612,6150926,5396400,16
12,graphics-independent,explicit-all,16,1048576,8,1024,1024,252198,540864,139402,5104463,4637178,16
13,graphics-independent,explicit-all,16,1048576,8,1024,1024,123786,358842,97998,3879848,3332701,16
14,graphics-independent,explicit-all,16,1048576,8,1024,1024,136500,457229,113958,3723379,3141088,16
15,graphics-independent,explicit-all,16,1048576,8,1024,1024,139731,415171,125723,4023150,3434680,16
16,graphics-independent,explicit-all,16,1048576,8,1024,1024,203528,363507,105390,3720092,3183744,16
17,graphics-independent,explicit-all,16,1048576,8,1024,1024,132457,374309,166739,3859802,3303536,16
18,graphics-independent,explicit-all,16,1048576,8,1024,1024,408286,677923,174111,4024785,3139367,16
19,graphics-independent,explicit-all,16,1048576,8,1024,1024,133720,380888,116332,3835908,3206449,16
20,graphics-independent,explicit-all,16,1048576,8,1024,1024,128613,359339,103068,3826793,3228326,16
21,graphics-independent,explicit-all,16,1048576,8,1024,1024,133345,319140,95693,3873878,3231085,16
22,graphics-independent,explicit-all,16,1048576,8,1024,1024,127308,389902,102459,3910358,3266190,16
23,graphics-independent,explicit-all,16,1048576,8,1024,1024,149231,389648,106273,3840372,3200045,16
24,graphics-independent,explicit-all,16,1048576,8,1024,1024,137284,420088,105073,3858392,3231192,16
25,graphics-independent,explicit-all,16,1048576,8,1024,1024,142923,385504,106800,3782103,3148170,16
26,graphics-independent,explicit-all,16,1048576,8,1024,1024,129680,387893,101427,3821800,3181033,16
27,graphics-independent,explicit-all,16,1048576,8,1024,1024,140901,375465,106802,3870927,3283846,16
28,graphics-independent,explicit-all,16,1048576,8,1024,1024,83827,295824,65981,3675565,3171660,16
29,graphics-independent,explicit-all,16,1048576,8,1024,1024,88109,333280,72930,3758596,3211661,16
# validation_hash,fnv1a64:161975f4e03e1a92
