# collection_id,20260725T160725Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# vendor_id,0x8086
# device_id,0xa7a9
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:00:02.0"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,52.083332
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,3290,37384,709222,5045005,4233749,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,3381,40822,771118,4962380,4234270,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,3912,35153,630347,5042841,4323697,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,3846,39134,611859,5617450,4494010,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,5672,44138,978181,4990962,4282291,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,4911,43836,1009653,5054689,4175156,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,4043,42503,928582,4918099,4174218,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,3636,42675,1003218,5095787,4342708,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,4996,43009,935813,4905470,4175051,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,4077,41118,1138871,4949401,4242864,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,3271,42575,707713,5044172,4286510,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,3981,46083,883495,5850604,4964843,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,5052,47343,815590,4831904,4246458,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,3492,36991,588341,5143561,4299947,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,4985,48156,1126871,5014600,4216770,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,3906,43932,755894,4903832,4296197,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,2998,36146,581761,5043910,4370989,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,4063,44664,789556,4905538,4212447,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,2887,36190,616206,5092764,4326926,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,4686,39987,675702,5039221,4243906,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,4372,47707,860776,4783699,4208906,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,8849,40275,710724,5128485,4507187,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,4313,43582,853290,5070163,4356197,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,4417,45185,832550,5037335,4360781,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,4564,45853,847596,5131660,4298801,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,5260,49513,862428,4956692,4218801,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,3879,43345,771429,5054251,4486979,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,2702,39933,652739,4735122,4258854,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,2983,39592,636364,4713533,4199010,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,3506,40554,637256,4844635,4364583,16
# validation_hash,fnv1a64:de1814328067f325
