# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,61320,62509,81468,3076166,2738532,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,63600,63494,94163,3266866,2924419,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,79634,68808,97342,3063253,2754159,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,92397,72956,98651,3341565,2988379,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,73427,70804,99339,3281438,2816451,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,79805,74645,108430,3187833,2814105,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,71466,74652,97550,3250860,2752443,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,75879,73165,102884,3282384,2913430,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,79279,73221,104226,3250985,2853535,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,77777,77584,182852,3236557,2822025,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,77650,73681,106862,3185635,2751033,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,82914,115081,129232,3213607,2820567,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,77354,78172,106111,3450482,3078742,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,71832,76149,113841,3257380,2814732,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,69753,71808,128834,3170005,2744733,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,75527,73161,105037,3216617,2825409,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,73548,69557,129746,3208544,2824473,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,84712,75025,107339,3243668,2743532,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,74156,77795,155874,3082178,2741191,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,79656,80201,108437,3176992,2818535,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,81483,80221,140166,3219138,2888587,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,78548,79219,105124,3254540,2837807,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,73864,77060,168329,3243767,2815459,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,88268,82916,121400,3085491,2743377,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,74080,78619,157970,3201913,2746610,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,78420,78486,106234,3426291,2980827,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,88574,80683,116344,3231505,2795044,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,76159,77499,100727,3304509,2906555,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,82252,93594,116582,3079035,2743117,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,70062,73894,104806,3084371,2901504,16
# validation_hash,fnv1a64:1051691fc9daa325
