# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,87101,72175,106316,3093848,2741660,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,66630,69489,91947,3360715,2909265,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,76453,70666,102911,3376829,2902493,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,82425,73489,130401,3322260,2910200,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,81750,75766,111481,3516317,2903796,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,96433,80599,116441,3242200,2894524,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,167070,107572,109075,3098700,2744160,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,74442,70502,100771,3273801,2889889,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,87828,112598,117868,3204694,2743586,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,75508,71357,98611,3090812,2742388,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,76403,72513,152188,3065369,2825202,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,77542,71615,107578,3419355,2965306,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,76256,119534,107240,3324044,2890878,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,95254,86961,110855,3338343,2903117,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,87949,73828,107244,3187553,2813952,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,79050,79368,108255,3210073,2821085,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,84204,81603,109113,3164082,2754004,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,77002,62040,90896,3116062,2745412,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,73610,69215,90866,3059211,2813637,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,64894,69810,89468,3134092,2766346,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,69845,69936,139449,3157840,2906192,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,76172,102874,133914,3271643,2744053,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,72949,121084,136920,3389027,2899837,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,79652,76146,106302,3173442,2743744,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,84346,72623,102889,3212159,2814837,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,75918,81563,106416,3296361,2916661,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,79879,72795,106460,3334526,2947023,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,66637,85260,150640,3197065,2812126,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,85320,71222,106518,3155320,2836191,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,76427,72526,139764,3075724,2834889,16
# validation_hash,fnv1a64:1051691fc9daa325
