# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only,16,1048576,8,1024,1024,49170,54357,97128,2982560,2697128,16
1,compute-independent,hazard-only,16,1048576,8,1024,1024,52650,59001,89785,2939312,2660879,16
2,compute-independent,hazard-only,16,1048576,8,1024,1024,53100,108452,97310,3074831,2760203,16
3,compute-independent,hazard-only,16,1048576,8,1024,1024,52732,58916,82568,2820675,2609159,16
4,compute-independent,hazard-only,16,1048576,8,1024,1024,52850,59113,82856,3129402,2827492,16
5,compute-independent,hazard-only,16,1048576,8,1024,1024,54171,67701,84793,3111155,2816243,16
6,compute-independent,hazard-only,16,1048576,8,1024,1024,86446,62254,83652,3093586,2805514,16
7,compute-independent,hazard-only,16,1048576,8,1024,1024,53591,62235,81249,2998788,2743223,16
8,compute-independent,hazard-only,16,1048576,8,1024,1024,52691,58939,83516,2890103,2602180,16
9,compute-independent,hazard-only,16,1048576,8,1024,1024,58445,79898,90624,3055886,2728013,16
10,compute-independent,hazard-only,16,1048576,8,1024,1024,53205,59785,83945,2943774,2636555,16
11,compute-independent,hazard-only,16,1048576,8,1024,1024,53429,73696,83680,2971824,2644990,16
12,compute-independent,hazard-only,16,1048576,8,1024,1024,77479,78629,127434,3146030,2746607,16
13,compute-independent,hazard-only,16,1048576,8,1024,1024,85502,72262,204377,3001291,2593586,16
14,compute-independent,hazard-only,16,1048576,8,1024,1024,76903,67711,110541,3072504,2715252,16
15,compute-independent,hazard-only,16,1048576,8,1024,1024,77890,67242,114094,3151986,2784942,16
16,compute-independent,hazard-only,16,1048576,8,1024,1024,150254,70493,113251,3032330,2655096,16
17,compute-independent,hazard-only,16,1048576,8,1024,1024,77981,68117,113611,3038621,2674209,16
18,compute-independent,hazard-only,16,1048576,8,1024,1024,77096,67285,175466,3011420,2693690,16
19,compute-independent,hazard-only,16,1048576,8,1024,1024,81347,69902,114575,3065771,2676347,16
20,compute-independent,hazard-only,16,1048576,8,1024,1024,81686,68488,113795,3008894,2643847,16
21,compute-independent,hazard-only,16,1048576,8,1024,1024,79012,68550,176772,3144127,2729369,16
22,compute-independent,hazard-only,16,1048576,8,1024,1024,80033,68260,123331,3041175,2659314,16
23,compute-independent,hazard-only,16,1048576,8,1024,1024,90334,68862,114877,3078044,2705514,16
24,compute-independent,hazard-only,16,1048576,8,1024,1024,102202,77609,120153,3000958,2622544,16
25,compute-independent,hazard-only,16,1048576,8,1024,1024,100995,87386,153372,3202742,2700620,16
26,compute-independent,hazard-only,16,1048576,8,1024,1024,91246,78108,154099,3097830,2589159,16
27,compute-independent,hazard-only,16,1048576,8,1024,1024,93390,80416,151246,3003224,2588899,16
28,compute-independent,hazard-only,16,1048576,8,1024,1024,107975,94326,422032,3060144,2661397,16
29,compute-independent,hazard-only,16,1048576,8,1024,1024,88400,71272,109050,3180196,2676713,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
