# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,44943,147052,45714,2781768,2319575,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,44311,185188,45737,2610516,2319783,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,45343,179871,50186,2735572,2320720,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,46521,170822,45448,2777243,2382544,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,46538,175995,44949,2764606,2319835,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,61157,213935,57337,2897770,2321554,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,86902,251258,101594,2886373,2347336,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,63623,250609,58272,2794183,2321034,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,62402,201342,58181,2840015,2387285,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,64985,214676,60190,2872343,2321398,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,60975,180244,50582,2933208,2385617,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,140627,297260,61115,2861761,2320670,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,114958,204917,59375,2855712,2321398,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,62818,209641,58481,2854864,2321450,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,61926,202197,57416,2856159,2321972,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,55073,217221,117710,2946024,2393274,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,129761,186127,52142,2873354,2321763,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,62682,202869,58100,2918700,2393742,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,54257,188548,78140,3006968,2448483,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,56783,183555,52707,2862971,2321242,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,56782,182592,50712,2848172,2322024,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,54129,182254,50889,2871873,2321710,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,62241,199445,56982,2899886,2384785,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,49921,195794,47248,2911016,2321242,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,54995,194232,51431,2855516,2321710,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,80685,197002,51354,2926562,2395252,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,58259,187042,54872,2819013,2321190,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,56506,178968,52819,2985828,2449734,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,65636,212907,123255,2936334,2322439,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,65980,203396,58946,2871355,2321295,16
# validation_hash,fnv1a64:de1814328067f325
