# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,55344,161069,79588,3045280,2510148,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,86252,199619,59163,2808959,2320982,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,59825,164544,55194,2688055,2321867,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,54958,163007,53591,2806215,2392961,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,56175,161527,51999,2678186,2321814,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,51569,162004,54151,2892511,2383793,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,57081,164574,112683,2838322,2321556,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,55943,160773,50568,2729111,2320930,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,54946,160636,50833,2849135,2320931,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,61444,197270,52324,2793291,2321242,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,55881,171465,54524,3054915,2520148,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,86487,231159,75187,2732568,2323534,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,86588,240935,90629,2817813,2322492,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,101428,365129,81562,2859585,2324262,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,82658,213445,51509,2704447,2321190,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,73553,168527,52843,2700282,2321450,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,66368,216249,65491,2918114,2383898,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,92849,265214,104266,2841835,2321242,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,94458,288733,93645,2906542,2454575,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,90939,259367,156934,2796963,2321658,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,104388,300195,202193,2998672,2446504,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,208528,235029,151161,2840960,2321972,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,64760,165547,57430,2831733,2320826,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,63005,201193,59845,2829226,2321554,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,83333,177121,58678,2793671,2330566,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,78543,190227,65245,2697294,2321242,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,74594,183196,60926,2766080,2321763,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,64473,177093,58955,2761532,2321138,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,64352,178932,58603,2836408,2321712,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,76994,189914,65905,2890955,2386659,16
# validation_hash,fnv1a64:de1814328067f325
