# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# vendor_id,0x8086
# device_id,0xa7a9
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:00:02.0"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,52.083332
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,5305,36822,675972,5536772,4610468,16
1,compute-chain,tracked,16,1048576,8,1024,1024,5770,43977,803490,6042822,5061041,16
2,compute-chain,tracked,16,1048576,8,1024,1024,6367,51384,880567,5768310,4617812,16
3,compute-chain,tracked,16,1048576,8,1024,1024,7723,55000,857477,5727380,4842968,16
4,compute-chain,tracked,16,1048576,8,1024,1024,5794,43250,817651,5625293,4697708,16
5,compute-chain,tracked,16,1048576,8,1024,1024,5105,37585,796426,5535662,4544114,16
6,compute-chain,tracked,16,1048576,8,1024,1024,5762,42861,771535,6347875,5317499,16
7,compute-chain,tracked,16,1048576,8,1024,1024,5450,40900,780164,6011879,4809635,16
8,compute-chain,tracked,16,1048576,8,1024,1024,6971,42104,801351,7555110,6233437,16
9,compute-chain,tracked,16,1048576,8,1024,1024,6005,41097,876775,5927432,4830624,16
10,compute-chain,tracked,16,1048576,8,1024,1024,5038,38956,709586,6009469,4933645,16
11,compute-chain,tracked,16,1048576,8,1024,1024,5624,38256,756936,5508728,4777395,16
12,compute-chain,tracked,16,1048576,8,1024,1024,3866,32187,699496,5455763,4772812,16
13,compute-chain,tracked,16,1048576,8,1024,1024,3776,42584,656128,5691446,4774635,16
14,compute-chain,tracked,16,1048576,8,1024,1024,4325,41061,708746,5458728,4706458,16
15,compute-chain,tracked,16,1048576,8,1024,1024,4058,39304,685631,5474436,4702187,16
16,compute-chain,tracked,16,1048576,8,1024,1024,4120,37907,697797,5352141,4626458,16
17,compute-chain,tracked,16,1048576,8,1024,1024,4010,76361,729258,5396526,4683541,16
18,compute-chain,tracked,16,1048576,8,1024,1024,3938,38848,652891,5615727,4855572,16
19,compute-chain,tracked,16,1048576,8,1024,1024,4251,46141,772703,5570309,4959843,16
20,compute-chain,tracked,16,1048576,8,1024,1024,4423,68651,720518,5324542,4606614,16
21,compute-chain,tracked,16,1048576,8,1024,1024,4917,42721,758417,5549564,4814635,16
22,compute-chain,tracked,16,1048576,8,1024,1024,4092,38054,820488,5585532,4835520,16
23,compute-chain,tracked,16,1048576,8,1024,1024,4736,56654,659974,5661183,4782760,16
24,compute-chain,tracked,16,1048576,8,1024,1024,4399,39754,836097,5488983,4723176,16
25,compute-chain,tracked,16,1048576,8,1024,1024,4829,38846,744528,5508603,4787083,16
26,compute-chain,tracked,16,1048576,8,1024,1024,4882,40190,719970,5578422,4785937,16
27,compute-chain,tracked,16,1048576,8,1024,1024,4459,37415,810275,5361649,4638801,16
28,compute-chain,tracked,16,1048576,8,1024,1024,4773,37889,791581,5359299,4624947,16
29,compute-chain,tracked,16,1048576,8,1024,1024,4577,72288,811626,5829381,5102187,16
# validation_hash,fnv1a64:1051691fc9daa325
