# collection_id,20260725T160725Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# vendor_id,0x8086
# device_id,0xa7a9
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:00:02.0"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,52.083332
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,6897,101737,1480063,7933243,6709895,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,4597,54608,951147,8080908,6879166,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,5328,76839,1182356,8051845,6761770,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,6503,63004,1396853,8942000,7724947,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,10891,94856,1380835,6187072,5193697,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,6146,61927,978876,6341505,5447187,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,5459,58370,1004150,6048587,5173020,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,4214,48727,981010,6117757,5146666,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,5674,57087,948006,6159492,5192604,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,5646,55955,866994,6070421,5244791,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,5146,55293,1006787,6055240,5218385,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,5207,54456,990275,6216996,5314687,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,5853,65594,925151,5881947,5216458,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,3209,76274,724729,5915719,5263801,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,3335,52227,868865,5852647,5193489,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,4114,57483,937596,5840365,5254791,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,3374,52616,798579,5911952,5225312,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,3501,53771,783654,5842200,5249739,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,4306,65803,846574,5835236,5244426,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,3524,52780,905353,6001405,5329843,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,3602,58125,939293,6073612,5388229,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,4094,59703,906208,5833661,5165781,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,3643,57342,920444,5972092,5292239,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,4201,57627,917450,5854737,5189791,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,3711,57312,895689,5899367,5189218,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,3502,51230,821103,7673599,6810885,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,4210,57113,907756,8338058,7455312,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,4807,61069,1018528,8176313,7170572,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,4502,61214,1025931,7812017,6624062,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,5576,134602,1117642,7669553,6684010,16
# validation_hash,fnv1a64:161975f4e03e1a92
