# collection_id,20260725T160725Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,129843,65614,91828,3186362,2741451,16
1,compute-chain,automatic,16,1048576,8,1024,1024,93135,68289,118917,3269774,2841347,16
2,compute-chain,automatic,16,1048576,8,1024,1024,56468,57812,75991,3329428,2818950,16
3,compute-chain,automatic,16,1048576,8,1024,1024,66867,75388,209572,3442186,2820410,16
4,compute-chain,automatic,16,1048576,8,1024,1024,80521,69114,93671,3476000,2895720,16
5,compute-chain,automatic,16,1048576,8,1024,1024,88512,93665,116367,3269067,2760566,16
6,compute-chain,automatic,16,1048576,8,1024,1024,100807,78318,105417,3432918,2975564,16
7,compute-chain,automatic,16,1048576,8,1024,1024,77798,72773,94293,3292498,2743586,16
8,compute-chain,automatic,16,1048576,8,1024,1024,65075,74108,98841,3380246,2896762,16
9,compute-chain,automatic,16,1048576,8,1024,1024,66708,83877,97440,3473815,2968223,16
10,compute-chain,automatic,16,1048576,8,1024,1024,74284,72861,97498,3188661,2751140,16
11,compute-chain,automatic,16,1048576,8,1024,1024,70469,71913,125841,3376434,2827337,16
12,compute-chain,automatic,16,1048576,8,1024,1024,68247,123465,103823,3467042,2922441,16
13,compute-chain,automatic,16,1048576,8,1024,1024,53456,66419,70968,3249656,2819314,16
14,compute-chain,automatic,16,1048576,8,1024,1024,47102,62864,63097,3115603,2755199,16
15,compute-chain,automatic,16,1048576,8,1024,1024,45324,63226,63003,3300152,2913847,16
16,compute-chain,automatic,16,1048576,8,1024,1024,55924,100837,75291,3176945,2749002,16
17,compute-chain,automatic,16,1048576,8,1024,1024,47773,62802,67130,3220285,2739106,16
18,compute-chain,automatic,16,1048576,8,1024,1024,48322,62357,69981,3350849,2964837,16
19,compute-chain,automatic,16,1048576,8,1024,1024,81574,88412,98392,2992371,2748898,16
20,compute-chain,automatic,16,1048576,8,1024,1024,66660,160024,110416,3130994,2744474,16
21,compute-chain,automatic,16,1048576,8,1024,1024,50648,86321,77889,3486247,3005254,16
22,compute-chain,automatic,16,1048576,8,1024,1024,71087,87443,103761,3159132,2739576,16
23,compute-chain,automatic,16,1048576,8,1024,1024,46738,84648,74046,3139649,2809316,16
24,compute-chain,automatic,16,1048576,8,1024,1024,47142,89571,75993,3286436,2888589,16
25,compute-chain,automatic,16,1048576,8,1024,1024,58861,98681,88010,3226797,2821088,16
26,compute-chain,automatic,16,1048576,8,1024,1024,44642,84693,86849,3235073,2828012,16
27,compute-chain,automatic,16,1048576,8,1024,1024,87247,88870,81607,3332981,2905515,16
28,compute-chain,automatic,16,1048576,8,1024,1024,63629,90514,140843,3068015,2747130,16
29,compute-chain,automatic,16,1048576,8,1024,1024,75433,74624,76701,3225506,2901296,16
# validation_hash,fnv1a64:1051691fc9daa325
