# collection_id,20260725T160725Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,16,1048576,8,1024,1024,274728,380855,118480,6438657,5631449,16
1,graphics-independent,hazard-only,16,1048576,8,1024,1024,154786,425736,123182,6127980,5222699,16
2,graphics-independent,hazard-only,16,1048576,8,1024,1024,169238,427675,137526,6243256,5386035,16
3,graphics-independent,hazard-only,16,1048576,8,1024,1024,172500,419299,132139,6145266,5424527,16
4,graphics-independent,hazard-only,16,1048576,8,1024,1024,220211,450533,123117,6350192,5304369,16
5,graphics-independent,hazard-only,16,1048576,8,1024,1024,165517,433714,127008,6220941,5405512,16
6,graphics-independent,hazard-only,16,1048576,8,1024,1024,189433,358127,118885,6213140,5341815,16
7,graphics-independent,hazard-only,16,1048576,8,1024,1024,217246,344790,115886,6237677,5454211,16
8,graphics-independent,hazard-only,16,1048576,8,1024,1024,202968,371445,101471,6311194,5537180,16
9,graphics-independent,hazard-only,16,1048576,8,1024,1024,196235,378932,103611,5946783,5117387,16
10,graphics-independent,hazard-only,16,1048576,8,1024,1024,136832,495425,106039,6205912,5399264,16
11,graphics-independent,hazard-only,16,1048576,8,1024,1024,141735,866894,105923,6008777,5372703,16
12,graphics-independent,hazard-only,16,1048576,8,1024,1024,124990,391909,102808,6308599,5597493,16
13,graphics-independent,hazard-only,16,1048576,8,1024,1024,125115,429401,104152,7704256,6983951,16
14,graphics-independent,hazard-only,16,1048576,8,1024,1024,144157,428715,115762,6686697,5990566,16
15,graphics-independent,hazard-only,16,1048576,8,1024,1024,210688,532618,162714,4738053,4046660,16
16,graphics-independent,hazard-only,16,1048576,8,1024,1024,102468,354558,91726,3732215,3164161,16
17,graphics-independent,hazard-only,16,1048576,8,1024,1024,116541,613754,106161,3844575,3318950,16
18,graphics-independent,hazard-only,16,1048576,8,1024,1024,117968,548536,127714,3868635,3285046,16
19,graphics-independent,hazard-only,16,1048576,8,1024,1024,248857,379942,103339,3653411,3091398,16
20,graphics-independent,hazard-only,16,1048576,8,1024,1024,102765,353976,92523,3608108,3067754,16
21,graphics-independent,hazard-only,16,1048576,8,1024,1024,93992,342667,82179,3747036,3216189,16
22,graphics-independent,hazard-only,16,1048576,8,1024,1024,93268,365533,88659,3704736,3155774,16
23,graphics-independent,hazard-only,16,1048576,8,1024,1024,92364,321683,82020,3770996,3243065,16
24,graphics-independent,hazard-only,16,1048576,8,1024,1024,101878,314436,90319,3527936,3060514,16
25,graphics-independent,hazard-only,16,1048576,8,1024,1024,97446,308919,117695,3641445,3142491,16
26,graphics-independent,hazard-only,16,1048576,8,1024,1024,99507,375139,89333,3695019,3176347,16
27,graphics-independent,hazard-only,16,1048576,8,1024,1024,132984,313562,82134,3676936,3125931,16
28,graphics-independent,hazard-only,16,1048576,8,1024,1024,97252,321838,82245,3667285,3162442,16
29,graphics-independent,hazard-only,16,1048576,8,1024,1024,105488,324831,81014,3651793,3131398,16
# validation_hash,fnv1a64:161975f4e03e1a92
