# collection_id,20260725T160725Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"Intel(R) Graphics (RPL-U)"
# vendor_id,0x8086
# device_id,0xa7a9
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:00:02.0"
# driver_name,"Intel open-source Mesa driver"
# driver_info,"Mesa 25.2.8-0ubuntu0.25.10.2"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,52.083332
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,4610,37556,638769,5738386,4843124,16
1,compute-independent,tracked,16,1048576,8,1024,1024,4730,37203,728607,5755272,4906406,16
2,compute-independent,tracked,16,1048576,8,1024,1024,5409,38512,697806,5827216,4863958,16
3,compute-independent,tracked,16,1048576,8,1024,1024,5276,46432,757486,5827691,4870260,16
4,compute-independent,tracked,16,1048576,8,1024,1024,4698,39845,649025,5800638,4907135,16
5,compute-independent,tracked,16,1048576,8,1024,1024,5650,35901,684102,5854587,4880156,16
6,compute-independent,tracked,16,1048576,8,1024,1024,4855,47532,834085,5701006,4920416,16
7,compute-independent,tracked,16,1048576,8,1024,1024,5264,38585,714842,5872817,4954062,16
8,compute-independent,tracked,16,1048576,8,1024,1024,6001,43466,775566,5864802,4907551,16
9,compute-independent,tracked,16,1048576,8,1024,1024,5627,44734,771651,5777357,4877760,16
10,compute-independent,tracked,16,1048576,8,1024,1024,5182,77463,714130,5814732,4896406,16
11,compute-independent,tracked,16,1048576,8,1024,1024,5828,50193,926263,5814856,4835156,16
12,compute-independent,tracked,16,1048576,8,1024,1024,5147,38377,682569,5696842,4904166,16
13,compute-independent,tracked,16,1048576,8,1024,1024,5414,41305,693541,5744149,4852916,16
14,compute-independent,tracked,16,1048576,8,1024,1024,6358,47519,723834,5684912,4870729,16
15,compute-independent,tracked,16,1048576,8,1024,1024,5957,77965,667097,5880894,4927916,16
16,compute-independent,tracked,16,1048576,8,1024,1024,5686,43388,855700,5717682,4866354,16
17,compute-independent,tracked,16,1048576,8,1024,1024,5330,45246,797720,5922115,5020624,16
18,compute-independent,tracked,16,1048576,8,1024,1024,5015,42878,721361,5738253,4962395,16
19,compute-independent,tracked,16,1048576,8,1024,1024,5576,38110,723928,5478985,4934791,16
20,compute-independent,tracked,16,1048576,8,1024,1024,4064,33065,651552,5754186,4976145,16
21,compute-independent,tracked,16,1048576,8,1024,1024,4330,32652,597634,5528763,4877083,16
22,compute-independent,tracked,16,1048576,8,1024,1024,5772,37233,759296,5713970,4909374,16
23,compute-independent,tracked,16,1048576,8,1024,1024,4878,47155,847111,5617385,4870624,16
24,compute-independent,tracked,16,1048576,8,1024,1024,5357,37038,771211,5602977,4834010,16
25,compute-independent,tracked,16,1048576,8,1024,1024,5022,37146,665501,5722435,4969999,16
26,compute-independent,tracked,16,1048576,8,1024,1024,5788,36216,751339,5602438,4857239,16
27,compute-independent,tracked,16,1048576,8,1024,1024,5394,41794,766747,5519078,4910208,16
28,compute-independent,tracked,16,1048576,8,1024,1024,3939,37402,691290,5491614,4925051,16
29,compute-independent,tracked,16,1048576,8,1024,1024,3617,38133,679024,5388276,4905885,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
