repetition,index,implementation,workload,policy,passes,file
1,0,blade,compute-independent,explicit-all-scoped,16,r01__blade__compute-independent__explicit-all-scoped.csv
1,1,wgpu,graphics-independent,tracked,16,r01__wgpu__graphics-independent__tracked.csv
1,2,blade,mixed-chain,automatic,16,r01__blade__mixed-chain__automatic.csv
1,3,blade,graphics-chain,hazard-only,16,r01__blade__graphics-chain__hazard-only.csv
1,4,blade,compute-independent,automatic-scoped,16,r01__blade__compute-independent__automatic-scoped.csv
1,5,blade,mixed-independent,hazard-only,16,r01__blade__mixed-independent__hazard-only.csv
1,6,blade,mixed-chain,hazard-only,16,r01__blade__mixed-chain__hazard-only.csv
1,7,blade,graphics-independent,hazard-only,16,r01__blade__graphics-independent__hazard-only.csv
1,8,blade,graphics-chain,automatic,16,r01__blade__graphics-chain__automatic.csv
1,9,blade,graphics-chain,explicit-all,16,r01__blade__graphics-chain__explicit-all.csv
1,10,blade,graphics-independent,explicit-all,16,r01__blade__graphics-independent__explicit-all.csv
1,11,blade,mixed-independent,hazard-only-scoped,16,r01__blade__mixed-independent__hazard-only-scoped.csv
1,12,blade,mixed-chain,explicit-all,16,r01__blade__mixed-chain__explicit-all.csv
1,13,wgpu,compute-chain,tracked,16,r01__wgpu__compute-chain__tracked.csv
1,14,blade,graphics-independent,hazard-only-scoped,16,r01__blade__graphics-independent__hazard-only-scoped.csv
1,15,blade,compute-independent,hazard-only-scoped,16,r01__blade__compute-independent__hazard-only-scoped.csv
1,16,blade,compute-chain,automatic,16,r01__blade__compute-chain__automatic.csv
1,17,blade,compute-independent,automatic,16,r01__blade__compute-independent__automatic.csv
1,18,blade,compute-independent,explicit-all,16,r01__blade__compute-independent__explicit-all.csv
1,19,blade,mixed-chain,explicit-all-scoped,16,r01__blade__mixed-chain__explicit-all-scoped.csv
1,20,blade,compute-chain,hazard-only-scoped,16,r01__blade__compute-chain__hazard-only-scoped.csv
1,21,blade,mixed-independent,automatic-scoped,16,r01__blade__mixed-independent__automatic-scoped.csv
1,22,blade,compute-chain,explicit-all,16,r01__blade__compute-chain__explicit-all.csv
1,23,blade,compute-independent,hazard-only,16,r01__blade__compute-independent__hazard-only.csv
1,24,wgpu,compute-independent,tracked,16,r01__wgpu__compute-independent__tracked.csv
1,25,blade,graphics-independent,explicit-all-scoped,16,r01__blade__graphics-independent__explicit-all-scoped.csv
1,26,blade,mixed-independent,automatic,16,r01__blade__mixed-independent__automatic.csv
1,27,blade,graphics-chain,hazard-only-scoped,16,r01__blade__graphics-chain__hazard-only-scoped.csv
1,28,blade,mixed-independent,explicit-all,16,r01__blade__mixed-independent__explicit-all.csv
