# collection_id,20260725T185206Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1988,13864,3008,208949,178208,16
1,compute-chain,automatic-scoped,16,1048576,8,1024,1024,5067,16732,2892,194303,164416,16
2,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1382,15000,2455,196649,166912,16
3,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1338,15057,2652,193938,164256,16
4,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1389,14658,2398,196492,166496,16
5,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1297,14099,3310,196335,166432,16
6,compute-chain,automatic-scoped,16,1048576,8,1024,1024,3451,13932,2500,193650,163968,16
7,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1243,12965,2620,194069,164608,16
8,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1414,13017,2464,196024,166304,16
9,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1375,13035,2702,193940,164224,16
10,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1423,13102,2402,195334,164704,16
11,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1449,12223,2625,194014,164128,16
12,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1348,13080,2711,194491,164640,16
13,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1304,12935,2851,194857,164960,16
14,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1323,13193,2611,194760,164960,16
15,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1334,14935,2443,194036,164160,16
16,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1341,13047,2624,194070,164384,16
17,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1318,12984,2915,193259,164096,16
18,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1346,12179,3173,194402,164384,16
19,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1323,12960,2540,194147,164000,16
20,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1339,13088,2605,194672,164928,16
21,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1316,12947,2425,194064,164224,16
22,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1271,13023,2639,198053,168608,16
23,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1304,12990,2453,194134,164352,16
24,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1339,13216,2610,194757,164768,16
25,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1283,13090,2632,195424,164768,16
26,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1349,12128,2614,194101,164320,16
27,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1244,13211,2449,195826,166080,16
28,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1360,13107,2622,196007,166144,16
29,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1272,12979,2388,194993,164160,16
# validation_hash,fnv1a64:1051691fc9daa325
