# collection_id,20260725T185206Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,1373,14064,2437,196962,164928,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,1904,37739,4694,201851,164192,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,2419,24033,3036,202442,170912,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,1473,15004,2771,197472,166560,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,1426,20433,2680,197753,166432,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,1408,14570,3629,194880,164384,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,1471,14434,2640,199541,168736,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,1351,13870,2716,196815,166048,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,1435,13629,2552,196901,166688,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,1329,12014,2753,196345,167008,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,1380,13073,2400,193995,164160,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,1275,13115,2641,193845,164160,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,1389,13022,2482,198212,169024,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,1330,13172,2883,194665,164256,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,1412,12079,2681,194858,164832,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,1305,13068,2439,196809,166784,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,1440,13011,2601,195679,166208,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,1322,13221,3089,194474,163968,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,1532,12110,3574,195040,164512,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,1355,12896,2649,196762,166848,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,1299,13086,2544,194904,164928,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,1353,12959,2428,200154,170208,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,1327,13024,2640,195238,164960,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,1396,12156,2462,194741,164640,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,1229,13008,2563,196098,166272,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,1327,12896,2622,195018,164672,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,1246,12932,2672,195839,166368,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,1212,12897,2397,197009,166688,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,1372,12986,2664,194490,164384,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,1322,12961,2432,196430,166144,16
# validation_hash,fnv1a64:1051691fc9daa325
